threshold,horizon,n,rate,aleatory_sigma,epistemic_sigma,total_sigma,P_point,P_lower,P_upper
4.5,7d,1947,37.52449373453116,1.6765618235737918,15.374056832067545,15.465202327286502,0.5128363877885045,0.7274898684258619,0.129102526603178
4.5,30d,1947,37.52449373453116,1.6765618235737918,15.374056832067545,15.465202327286502,0.9541368786476074,0.9961962551987288,0.4470118238528149
5.0,7d,534,10.291771779270489,0.8828079294082158,9.216339447279303,9.258523783395633,0.1790075357095673,0.4201710734682733,-0.16246119429296257
5.0,30d,534,10.291771779270489,0.8828079294082158,9.216339447279303,9.258523783395633,0.5705801056382576,0.9032678358304229,-0.9063095223465041
5.5,7d,70,1.3491086602039968,0.32641062214125893,2.017881096047978,2.0441105674680204,0.02552421350640266,0.09754745519701591,-0.05224708371743181
5.5,30d,70,1.3491086602039968,0.32641062214125893,2.017881096047978,2.0441105674680204,0.10489096939146247,0.35588768513147295,-0.24391376811433374
6.0,7d,22,0.4240055789212561,0.18811375155305587,0.25440334735275366,0.31639824062034644,0.008093120976854218,0.019812122676857613,-0.0037659916182357644
6.0,30d,22,0.4240055789212561,0.18811375155305587,0.25440334735275366,0.31639824062034644,0.0342264767516699,0.0821868865081874,-0.016240108685059873
6.5,7d,8,0.15418384688045678,0.11861900134896042,0.08672841387025693,0.14694313612236282,0.0029505650673352646,0.008438789374570654,-0.002568036190635725
6.5,30d,8,0.15418384688045678,0.11861900134896042,0.08672841387025693,0.14694313612236282,0.012584120346506689,0.035668056384687286,-0.011052393158948348
7.0,7d,1,0.019272980860057097,0.05344711340196459,0.04625515406413703,0.07068333048533802,0.00036929761356996327,0.003019896784057008,-0.002288348513962646
7.0,30d,1,0.019272980860057097,0.05344711340196459,0.04625515406413703,0.07068333048533802,0.001581744096652682,0.0128783517141966,-0.00984414175512538
