forecast_prob_etas_forced,forecast_prob_etas_mle,forecast_prob_poisson,horizon,is_background,is_post_mainshock,mainshock_definition,most_recent_mainshock_mag,most_recent_mainshock_time,n_events_preceding_1d,n_events_preceding_30d,n_events_preceding_7d,n_events_preceding_90d,n_mainshocks_preceding_90d,n_observed_in_horizon,n_train_events,observed_binary,origin_time,threshold,time_since_mainshock_days,window_label
0.085901,,0.209796,7d,False,True,5.0,5.025,1988-06-28T20:52:57.190000+00:00,1,2,2,6,2,1,319,1,1988-06-29T20:52:57.190000+00:00,5.0,1.0,0-24h
0.095409,,0.229856,7d,False,True,5.0,6.4,1995-05-06T01:59:07.130000+00:00,2,7,3,16,3,2,582,1,1995-05-07T01:59:07.130000+00:00,5.0,1.0,0-24h
0.081565,,0.229223,7d,False,True,5.0,5.025,1993-09-20T07:40:54.980000+00:00,1,3,1,9,4,0,527,0,1993-09-21T07:40:54.980000+00:00,5.0,1.0,0-24h
0.08985,,0.166486,7d,False,True,5.0,5.535,1979-01-01T18:51:10.800000+00:00,1,4,3,7,4,0,86,0,1979-01-02T18:51:10.800000+00:00,5.0,1.0,0-24h
0.068459,,0.211773,7d,False,True,5.0,5.1,2019-04-04T07:45:30.378000+00:00,1,10,2,22,5,0,1625,0,2019-04-05T07:45:30.378000+00:00,5.0,1.0,0-24h
0.092969,,0.209256,7d,False,True,5.0,5.195,2012-11-11T01:32:27.630000+00:00,6,13,10,24,10,1,1254,1,2012-11-12T01:32:27.630000+00:00,5.0,1.0,0-24h
0.085039,,0.22261,7d,False,True,5.0,5.28,1990-12-29T19:24:12.150000+00:00,1,4,2,9,4,3,410,1,1990-12-30T19:24:12.150000+00:00,5.0,1.0,0-24h
0.068435,,0.211806,7d,False,True,5.0,5.195,2018-06-11T04:53:50.390000+00:00,1,7,3,18,4,0,1583,0,2018-06-12T04:53:50.390000+00:00,5.0,1.0,0-24h
0.067124,,0.21182,7d,False,True,5.0,5.11,2020-06-14T05:35:31.831000+00:00,1,4,2,13,3,2,1681,1,2020-06-15T05:35:31.831000+00:00,5.0,1.0,0-24h
0.076127,,0.218524,7d,False,True,5.0,5.365,2000-02-27T17:21:28+00:00,1,2,1,13,3,0,764,0,2000-02-28T17:21:28+00:00,5.0,1.0,0-24h
0.078283,,0.225368,7d,False,True,5.0,6.0,1997-05-08T02:53:14.730000+00:00,1,4,1,12,5,0,673,0,1997-05-09T02:53:14.730000+00:00,5.0,1.0,0-24h
0.072412,,0.2129,7d,False,True,5.0,5.195,2016-10-26T02:21:58.690000+00:00,2,8,3,16,6,0,1495,0,2016-10-27T02:21:58.690000+00:00,5.0,1.0,0-24h
0.08215,,0.2321,7d,False,True,5.0,5.195,1995-06-17T21:09:20.600000+00:00,1,4,1,17,7,0,589,0,1995-06-18T21:09:20.600000+00:00,5.0,1.0,0-24h
0.06934,,0.204388,7d,False,True,5.0,5.11,2009-02-24T17:46:16.120000+00:00,1,3,1,16,5,2,1102,1,2009-02-25T17:46:16.120000+00:00,5.0,1.0,0-24h
0.076593,,0.222263,7d,False,True,5.0,5.6,1999-04-05T22:32:56.510000+00:00,1,2,1,10,2,0,733,0,1999-04-06T22:32:56.510000+00:00,5.0,1.0,0-24h
0.085981,,0.217261,7d,False,True,5.0,5.025,1989-04-21T12:46:29.700000+00:00,1,5,2,10,5,1,357,1,1989-04-22T12:46:29.700000+00:00,5.0,1.0,0-24h
0.07279,,0.204026,7d,False,True,5.0,5.3,2008-12-20T23:22:48.380000+00:00,2,8,4,17,3,1,1095,1,2008-12-21T23:22:48.380000+00:00,5.0,1.0,0-24h
0.078108,,0.223883,7d,False,True,5.0,5.025,1998-09-28T21:31:05.610000+00:00,1,4,3,12,6,0,718,0,1998-09-29T21:31:05.610000+00:00,5.0,1.0,0-24h
0.07118,,0.206609,7d,False,True,5.0,5.11,2012-02-10T19:10:01.850000+00:00,1,2,2,8,4,0,1211,0,2012-02-11T19:10:01.850000+00:00,5.0,1.0,0-24h
0.085619,,0.188695,7d,False,True,5.0,5.365,1983-01-03T11:28:14.060000+00:00,1,4,3,9,6,0,184,0,1983-01-04T11:28:14.060000+00:00,5.0,1.0,0-24h
0.073879,,0.209785,7d,False,True,5.0,5.025,2004-04-13T21:10:08.070000+00:00,1,7,2,9,2,0,885,0,2004-04-14T21:10:08.070000+00:00,5.0,1.0,0-24h
0.071353,,0.206116,7d,False,True,5.0,5.025,2005-12-27T16:19:15.760000+00:00,1,4,1,11,2,0,961,0,2005-12-28T16:19:15.760000+00:00,5.0,1.0,0-24h
0.070712,,0.211913,7d,False,True,5.0,5.45,2014-01-26T12:38:37.240000+00:00,1,8,4,16,5,2,1325,1,2014-01-27T12:38:37.240000+00:00,5.0,1.0,0-24h
0.072919,,0.206847,7d,False,True,5.0,5.11,2009-10-29T19:57:01.280000+00:00,1,3,2,13,10,0,1127,0,2009-10-30T19:57:01.280000+00:00,5.0,1.0,0-24h
0.066886,,0.211713,7d,False,True,5.0,5.1,2020-05-25T14:42:17.395000+00:00,1,3,1,11,2,0,1678,0,2020-05-26T14:42:17.395000+00:00,5.0,1.0,0-24h
0.085586,,0.170419,7d,False,True,5.0,5.875,1981-04-25T11:32:23.140000+00:00,1,3,1,5,3,1,133,1,1981-04-26T11:32:23.140000+00:00,5.0,1.0,0-24h
0.084215,,0.185726,7d,False,True,5.0,5.365,1982-11-26T13:26:29.280000+00:00,1,3,1,9,7,0,179,0,1982-11-27T13:26:29.280000+00:00,5.0,1.0,0-24h
0.077484,,0.206123,7d,False,True,5.0,5.7,2009-09-21T19:38:42.330000+00:00,2,7,5,12,7,0,1124,0,2009-09-22T19:38:42.330000+00:00,5.0,1.0,0-24h
