cell_id,expected_count,forecast_start_days,horizon_days,lat_center,lon_center,probability_at_least_one,rate_per_year,threshold
cell_00_00,0.072873,18941.366,0.0192,20.5,88.5,0.070281,1388.831163,5.0
cell_00_01,0.160836,18941.366,0.0192,20.5,89.5,0.148568,3065.251705,5.0
cell_00_02,0.061975,18941.366,0.0192,20.5,90.5,0.060094,1181.135661,5.0
cell_00_03,0.067714,18941.366,0.0192,20.5,91.5,0.065472,1290.506775,5.0
cell_00_04,0.199341,18941.366,0.0192,20.5,92.5,0.180729,3799.079448,5.0
cell_00_05,0.771457,18941.366,0.0192,20.5,93.5,0.537661,14702.60433,5.0
cell_00_06,1.023761,18941.366,0.0192,20.5,94.5,0.640759,19511.066038,5.0
cell_00_07,0.386651,18941.366,0.0192,20.5,95.5,0.320672,7368.888018,5.0
cell_01_00,0.083338,18941.366,0.0192,21.5,88.5,0.07996,1588.280092,5.0
cell_01_01,0.152876,18941.366,0.0192,21.5,89.5,0.141764,2913.545365,5.0
cell_01_02,0.05814,18941.366,0.0192,21.5,90.5,0.056483,1108.054439,5.0
cell_01_03,0.087712,18941.366,0.0192,21.5,91.5,0.083975,1671.630509,5.0
cell_01_04,0.445019,18941.366,0.0192,21.5,92.5,0.359188,8481.280462,5.0
cell_01_05,1.489443,18941.366,0.0192,21.5,93.5,0.774502,28386.14136,5.0
cell_01_06,1.894643,18941.366,0.0192,21.5,94.5,0.849628,36108.531977,5.0
cell_01_07,0.680737,18941.366,0.0192,21.5,95.5,0.493756,12973.634851,5.0
cell_02_00,0.00983,18941.366,0.0192,22.5,88.5,0.009782,187.340946,5.0
cell_02_01,0.034099,18941.366,0.0192,22.5,89.5,0.033524,649.857631,5.0
cell_02_02,0.055432,18941.366,0.0192,22.5,90.5,0.053924,1056.441378,5.0
cell_02_03,0.251715,18941.366,0.0192,22.5,91.5,0.222534,4797.249765,5.0
cell_02_04,1.108236,18941.366,0.0192,22.5,92.5,0.669859,21121.016212,5.0
cell_02_05,2.351179,18941.366,0.0192,22.5,93.5,0.904743,44809.295567,5.0
cell_02_06,3.706275,18941.366,0.0192,22.5,94.5,0.975431,70635.018318,5.0
cell_02_07,1.96186,18941.366,0.0192,22.5,95.5,0.859403,37389.575098,5.0
cell_03_00,0.000779,18941.366,0.0192,23.5,88.5,0.000779,14.844929,5.0
cell_03_01,0.013229,18941.366,0.0192,23.5,89.5,0.013142,252.12455,5.0
cell_03_02,0.159928,18941.366,0.0192,23.5,90.5,0.147795,3047.945145,5.0
cell_03_03,0.441121,18941.366,0.0192,23.5,91.5,0.356685,8406.979158,5.0
cell_03_04,1.132821,18941.366,0.0192,23.5,92.5,0.677877,21589.556578,5.0
cell_03_05,3.447529,18941.366,0.0192,23.5,93.5,0.968176,65703.773034,5.0
cell_03_06,5.480551,18941.366,0.0192,23.5,94.5,0.995833,104449.564964,5.0
cell_03_07,2.522223,18941.366,0.0192,23.5,95.5,0.919719,48069.090905,5.0
cell_04_00,0.033683,18941.366,0.0192,24.5,88.5,0.033122,641.938259,5.0
cell_04_01,0.052384,18941.366,0.0192,24.5,89.5,0.051036,998.351794,5.0
cell_04_02,0.271386,18941.366,0.0192,24.5,90.5,0.237678,5172.129168,5.0
cell_04_03,0.75471,18941.366,0.0192,24.5,91.5,0.529853,14383.422509,5.0
cell_04_04,1.360514,18941.366,0.0192,24.5,92.5,0.743471,25928.97799,5.0
cell_04_05,2.626623,18941.366,0.0192,24.5,93.5,0.927678,50058.758952,5.0
cell_04_06,5.720153,18941.366,0.0192,24.5,94.5,0.996721,109015.955708,5.0
cell_04_07,3.678671,18941.366,0.0192,24.5,95.5,0.974743,70108.93154,5.0
cell_05_00,0.129837,18941.366,0.0192,25.5,88.5,0.121761,2474.453591,5.0
cell_05_01,0.23529,18941.366,0.0192,25.5,89.5,0.209658,4484.208936,5.0
cell_05_02,0.589529,18941.366,0.0192,25.5,90.5,0.445412,11235.377785,5.0
cell_05_03,0.913951,18941.366,0.0192,25.5,91.5,0.599063,17418.291548,5.0
cell_05_04,0.956848,18941.366,0.0192,25.5,92.5,0.615898,18235.816158,5.0
cell_05_05,1.105975,18941.366,0.0192,25.5,93.5,0.669112,21077.912632,5.0
cell_05_06,2.627275,18941.366,0.0192,25.5,94.5,0.927725,50071.194471,5.0
cell_05_07,2.728995,18941.366,0.0192,25.5,95.5,0.934715,52009.792785,5.0
cell_06_00,0.483423,18941.366,0.0192,26.5,88.5,0.383331,9213.185147,5.0
cell_06_01,0.381769,18941.366,0.0192,26.5,89.5,0.317347,7275.837222,5.0
cell_06_02,0.574665,18941.366,0.0192,26.5,90.5,0.437107,10952.102273,5.0
cell_06_03,0.969626,18941.366,0.0192,26.5,91.5,0.620775,18479.352529,5.0
cell_06_04,1.951275,18941.366,0.0192,26.5,92.5,0.857907,37187.836417,5.0
cell_06_05,1.301387,18941.366,0.0192,26.5,93.5,0.727846,24802.119391,5.0
cell_06_06,0.593669,18941.366,0.0192,26.5,94.5,0.447703,11314.280837,5.0
cell_06_07,0.760919,18941.366,0.0192,26.5,95.5,0.532763,14501.756901,5.0
cell_07_00,1.031053,18941.366,0.0192,27.5,88.5,0.643369,19650.037696,5.0
cell_07_01,0.376075,18941.366,0.0192,27.5,89.5,0.313449,7167.313357,5.0
cell_07_02,0.329532,18941.366,0.0192,27.5,90.5,0.280739,6280.287608,5.0
cell_07_03,0.997714,18941.366,0.0192,27.5,91.5,0.631278,19014.647383,5.0
cell_07_04,1.996701,18941.366,0.0192,27.5,92.5,0.864217,38053.566308,5.0
cell_07_05,0.837958,18941.366,0.0192,27.5,93.5,0.567407,15969.995418,5.0
cell_07_06,0.160009,18941.366,0.0192,27.5,94.5,0.147864,3049.49404,5.0
