K,alpha,beats_poisson,brier_etas,brier_improvement,brier_poisson,c_days,gamma,information_gain,label,loglik_etas,loglik_poisson,mean_etas_prob,mean_poisson_prob,n_origins,n_positive,p,q,sigma_km
0.005,0.8,False,0.3406,-0.0995,0.2412,0.05,0.5,-0.2165,OAT_K=0.005,-0.892,-0.6755,0.2857,0.6281,150,90,1.1,1.0,10.0
0.01,0.8,False,0.3394,-0.0982,0.2412,0.05,0.5,-0.2135,OAT_K=0.01,-0.889,-0.6755,0.2877,0.6281,150,90,1.1,1.0,10.0
0.02,0.8,False,0.337,-0.0958,0.2412,0.05,0.5,-0.2075,OAT_K=0.02,-0.883,-0.6755,0.2919,0.6281,150,90,1.1,1.0,10.0
0.05,0.8,False,0.3301,-0.089,0.2412,0.05,0.5,-0.1907,OAT_K=0.05,-0.8662,-0.6755,0.3041,0.6281,150,90,1.1,1.0,10.0
0.1,0.8,False,0.3197,-0.0785,0.2412,0.05,0.5,-0.166,OAT_K=0.1,-0.8415,-0.6755,0.324,0.6281,150,90,1.1,1.0,10.0
0.02,0.3,False,0.338,-0.0968,0.2412,0.05,0.5,-0.21,OAT_alpha=0.3,-0.8855,-0.6755,0.2899,0.6281,150,90,1.1,1.0,10.0
0.02,0.5,False,0.3376,-0.0965,0.2412,0.05,0.5,-0.2091,OAT_alpha=0.5,-0.8846,-0.6755,0.2906,0.6281,150,90,1.1,1.0,10.0
0.02,0.8,False,0.337,-0.0958,0.2412,0.05,0.5,-0.2075,OAT_alpha=0.8,-0.883,-0.6755,0.2919,0.6281,150,90,1.1,1.0,10.0
0.02,1.0,False,0.3365,-0.0953,0.2412,0.05,0.5,-0.2063,OAT_alpha=1.0,-0.8818,-0.6755,0.293,0.6281,150,90,1.1,1.0,10.0
0.02,1.5,False,0.3348,-0.0937,0.2412,0.05,0.5,-0.2022,OAT_alpha=1.5,-0.8777,-0.6755,0.2975,0.6281,150,90,1.1,1.0,10.0
0.02,0.8,False,0.3377,-0.0966,0.2412,0.01,0.5,-0.2093,OAT_c_days=0.01,-0.8848,-0.6755,0.2907,0.6281,150,90,1.1,1.0,10.0
0.02,0.8,False,0.337,-0.0958,0.2412,0.05,0.5,-0.2075,OAT_c_days=0.05,-0.883,-0.6755,0.2919,0.6281,150,90,1.1,1.0,10.0
0.02,0.8,False,0.3367,-0.0955,0.2412,0.1,0.5,-0.2067,OAT_c_days=0.1,-0.8822,-0.6755,0.2924,0.6281,150,90,1.1,1.0,10.0
0.02,0.8,False,0.3361,-0.0949,0.2412,0.3,0.5,-0.2053,OAT_c_days=0.3,-0.8808,-0.6755,0.2932,0.6281,150,90,1.1,1.0,10.0
0.02,0.8,False,0.3382,-0.097,0.2412,0.05,0.5,-0.2105,OAT_p=1.05,-0.886,-0.6755,0.2897,0.6281,150,90,1.05,1.0,10.0
0.02,0.8,False,0.337,-0.0958,0.2412,0.05,0.5,-0.2075,OAT_p=1.1,-0.883,-0.6755,0.2919,0.6281,150,90,1.1,1.0,10.0
0.02,0.8,False,0.3374,-0.0963,0.2412,0.05,0.5,-0.2086,OAT_p=1.2,-0.8841,-0.6755,0.2916,0.6281,150,90,1.2,1.0,10.0
0.02,0.8,False,0.3387,-0.0975,0.2412,0.05,0.5,-0.2117,OAT_p=1.3,-0.8872,-0.6755,0.2897,0.6281,150,90,1.3,1.0,10.0
0.02,0.8,False,0.337,-0.0958,0.2412,0.05,0.5,-0.2075,OAT_sigma_km=3.0,-0.883,-0.6755,0.2919,0.6281,150,90,1.1,1.0,3.0
0.02,0.8,False,0.337,-0.0958,0.2412,0.05,0.5,-0.2075,OAT_sigma_km=5.0,-0.883,-0.6755,0.2919,0.6281,150,90,1.1,1.0,5.0
0.02,0.8,False,0.337,-0.0958,0.2412,0.05,0.5,-0.2075,OAT_sigma_km=10.0,-0.883,-0.6755,0.2919,0.6281,150,90,1.1,1.0,10.0
0.02,0.8,False,0.337,-0.0958,0.2412,0.05,0.5,-0.2075,OAT_sigma_km=20.0,-0.883,-0.6755,0.2919,0.6281,150,90,1.1,1.0,20.0
0.02,0.8,False,0.337,-0.0958,0.2412,0.05,0.5,-0.2075,OAT_sigma_km=50.0,-0.883,-0.6755,0.2919,0.6281,150,90,1.1,1.0,50.0
0.015,1.0,False,0.3378,-0.0967,0.2412,0.05,0.4,-0.2095,published_prior:ogata1998_california|Ogata (1998) JASA — California shallow strike-slip,-0.885,-0.6755,0.2907,0.6281,150,90,1.1,1.0,5.0
0.03,0.8,False,nan,nan,0.2412,0.03,0.5,nan,published_prior:zhuang2011_japan|Zhuang et al. (2011) — Japan subduction,nan,-0.6755,nan,0.6281,150,90,1.0,1.5,8.0
0.02,0.7,False,0.337,-0.0958,0.2412,0.1,0.6,-0.2075,published_prior:marsan2010_global|Marsan & Lengliné (2010) — global survey,-0.883,-0.6755,0.2921,0.6281,150,90,1.2,0.8,15.0
