origin_time,horizon,threshold,n_train_events,train_exposure_years,forecast_rate_per_year,forecast_probability,forecast_ci_lower,forecast_ci_upper,n_observed_in_horizon,observed_binary
1995-01-01T00:00:00+00:00,90d,4.5,564,21.79,25.883776,0.998301,0.997155,0.999019,11,1
1996-01-01T00:00:00+00:00,90d,4.5,607,22.876,26.534479,0.998553,0.997591,0.999158,12,1
1997-01-01T00:00:00+00:00,90d,4.5,660,23.852,27.67037,0.998906,0.998178,0.999363,8,1
1998-01-01T00:00:00+00:00,90d,4.5,696,24.882,27.971887,0.998985,0.998321,0.999403,9,1
1999-01-01T00:00:00+00:00,90d,4.5,724,25.86,27.996673,0.998991,0.998347,0.999401,8,1
2000-01-01T00:00:00+00:00,90d,4.5,755,26.885,28.082269,0.999012,0.998395,0.999408,15,1
2001-01-01T00:00:00+00:00,90d,4.5,786,27.865,28.207788,0.999042,0.998456,0.999421,5,1
2002-01-01T00:00:00+00:00,90d,4.5,823,28.868,28.509018,0.99911,0.998574,0.999459,2,1
2003-01-01T00:00:00+00:00,90d,4.5,846,29.879,28.314285,0.999067,0.998518,0.999426,3,1
2004-01-01T00:00:00+00:00,90d,4.5,875,30.879,28.33628,0.999072,0.998537,0.999425,8,1
2005-01-01T00:00:00+00:00,90d,4.5,922,31.828,28.968189,0.999206,0.99875,0.999506,15,1
2006-01-01T00:00:00+00:00,90d,4.5,962,32.887,29.25141,0.999259,0.99884,0.999537,15,1
2007-01-01T00:00:00+00:00,90d,4.5,1009,33.815,29.838638,0.999359,0.998998,0.999599,5,1
2008-01-01T00:00:00+00:00,90d,4.5,1046,34.877,29.991122,0.999383,0.99904,0.999611,13,1
2009-01-01T00:00:00+00:00,90d,4.5,1097,35.871,30.581921,0.999466,0.999172,0.999663,8,1
2010-01-01T00:00:00+00:00,90d,4.5,1139,36.888,30.877505,0.999504,0.999233,0.999685,6,1
2011-01-01T00:00:00+00:00,90d,4.5,1158,37.882,30.568605,0.999464,0.999179,0.999657,11,1
2012-01-01T00:00:00+00:00,90d,4.5,1207,38.873,31.050054,0.999524,0.999272,0.999695,8,1
2013-01-01T00:00:00+00:00,90d,4.5,1272,39.886,31.891105,0.999613,0.999408,0.999752,8,1
2014-01-01T00:00:00+00:00,90d,4.5,1320,40.886,32.284706,0.999649,0.999464,0.999774,16,1
2015-01-01T00:00:00+00:00,90d,4.5,1394,41.888,33.279441,0.999725,0.99958,0.999824,11,1
2016-01-01T00:00:00+00:00,90d,4.5,1448,42.864,33.780981,0.999757,0.999629,0.999844,9,1
2017-01-01T00:00:00+00:00,90d,4.5,1502,43.876,34.233195,0.999783,0.999669,0.99986,17,1
2018-01-01T00:00:00+00:00,90d,4.5,1558,44.881,34.714275,0.999807,0.999707,0.999875,13,1
2019-01-01T00:00:00+00:00,90d,4.5,1607,45.887,35.020491,0.999821,0.999729,0.999884,17,1
2020-01-01T00:00:00+00:00,90d,4.5,1659,46.862,35.401622,0.999837,0.999754,0.999894,11,1
2021-01-01T00:00:00+00:00,90d,4.5,1732,47.855,36.192577,0.999866,0.999797,0.999913,17,1
2022-01-01T00:00:00+00:00,90d,4.5,1815,48.878,37.133336,0.999894,0.999839,0.999931,16,1
2023-01-01T00:00:00+00:00,90d,4.5,1872,49.884,37.527007,0.999904,0.999854,0.999937,14,1
