P_ge1_1y,P_ge1_1y_ci_lower,P_ge1_1y_ci_upper,P_ge1_24h,P_ge1_24h_ci_lower,P_ge1_24h_ci_upper,P_ge1_30d,P_ge1_30d_ci_lower,P_ge1_30d_ci_upper,P_ge1_7d,P_ge1_7d_ci_lower,P_ge1_7d_ci_upper,P_ge1_90d,P_ge1_90d_ci_lower,P_ge1_90d_ci_upper,a_sigma,a_value_at_Mc,b_ci95_lower,b_ci95_upper,b_mle,b_sigma_shibolt,base_rate,brier_score,calibration_error,expected_count_1y,expected_count_24h,expected_count_30d,expected_count_7d,expected_count_90d,exposure_years,horizon,information_gain_vs_climatology,log_likelihood,magnitude_range,mean_forecast_probability,model,n_events_used,n_observed,n_origins,n_positive,notes,prior_sensitivity_ratio,rate_ci_garwood_lower,rate_ci_garwood_upper,rate_ci_jeffreys_lower,rate_ci_jeffreys_upper,rate_ci_lower,rate_ci_uniform_lower,rate_ci_uniform_upper,rate_ci_upper,rate_per_year,roc_auc_secondary,scale_label,sufficient_for_frequentist_precision,threshold,threshold_Mc
1.0,1.0,1.0,0.099588,0.095471,0.103824,0.957023,0.950719,0.962693,0.520168,0.504597,0.53575,0.999921,0.99988,0.999948,,,,,,,,,,38.315702,0.104903,3.14708,0.734319,9.441241,51.859,,,,,,temporal_poisson,,1987,,,,,,,,,36.649327,,,40.038311,38.315702,,,,4.5,
0.999996,0.999989,0.999998,0.033224,0.030739,0.035852,0.63711,0.608055,0.665568,0.210629,0.196315,0.225529,0.952211,0.939789,0.962595,,,,,,,,,,12.341243,0.033788,1.013654,0.236519,3.040963,51.859,,,,,,temporal_poisson,,640,,,,,,,,,11.403506,,,13.335534,12.341243,,,,5.0,
0.842949,0.776751,0.895714,0.005055,0.004097,0.00617,0.141053,0.115877,0.169458,0.034856,0.028328,0.042399,0.366278,0.308905,0.427092,,,,,,,,,,1.851186,0.005068,0.152048,0.035478,0.456144,51.859,,,,,,temporal_poisson,,96,,,,,,,,,1.499467,,,2.260615,1.851186,,,,5.5,
0.370479,0.256601,0.497724,0.001266,0.000812,0.001884,0.037299,0.024061,0.054989,0.00883,0.005667,0.01311,0.107774,0.07046,0.156062,,,,,,,,,,0.462797,0.001267,0.038012,0.008869,0.114036,51.859,,,,,,temporal_poisson,,24,,,,,,,,,0.296523,,,0.688605,0.462797,,,,6.0,
0.159324,0.07629,0.28068,0.000475,0.000217,0.000902,0.014153,0.006497,0.026697,0.003321,0.00152,0.006294,0.041862,0.019364,0.077971,,,,,,,,,,0.173549,0.000475,0.014255,0.003326,0.042764,51.859,,,,,,temporal_poisson,,9,,,Small sample (N=9); rate and probability CIs are wide. Treat point estimates as indicative only.,,,,,,0.079358,,,0.32945,0.173549,,,,6.5,
0.037832,0.00466,0.130046,0.000106,1.3e-05,0.000381,0.003163,0.000384,0.011377,0.000739,9e-05,0.002666,0.009458,0.00115,0.033746,,,,,,,,,,0.038566,0.000106,0.003168,0.000739,0.009503,51.859,,,,,,temporal_poisson,,2,,,Small sample (N=2); rate and probability CIs are wide. Treat point estimates as indicative only.,,,,,,0.004671,,,0.139315,0.038566,,,,7.0,
,,,,,,,,,,,,,,,0.0189,5.3313,0.485,0.5012,0.493,0.0042,,,,,,,,,,,,,4.00-7.30,,gutenberg_richter_mle,2286,,,,"Sensitivity scenario: Mc=4.0. Stage 3 established Mc is a working range (M3.5-4.5), NOT a validated threshold.",,,,,,,,,,,,Mw (derived/authoritative; events with missing Mw excluded),,,4.0
,,,,,,,,,,,,,,,0.0671,7.5794,0.9233,0.9813,0.9515,0.0148,,,,,,,,,,,,,4.51-7.30,,gutenberg_richter_mle,1985,,,,"Sensitivity scenario: Mc=4.5. Stage 3 established Mc is a working range (M3.5-4.5), NOT a validated threshold.",,,,,,,,,,,,Mw (derived/authoritative; events with missing Mw excluded),,,4.5
,,,,,,,,,,,,,,,0.2807,9.939,1.3288,1.538,1.4267,0.056,,,,,,,,,,,,,5.00-7.30,,gutenberg_richter_mle,639,,,,"Sensitivity scenario: Mc=5.0. Stage 3 established Mc is a working range (M3.5-4.5), NOT a validated threshold.",,,,,,,,,,,,Mw (derived/authoritative; events with missing Mw excluded),,,5.0
0.159324,0.082289,0.271486,0.000475,0.000235,0.000867,0.014153,0.007028,0.025681,0.003321,0.001644,0.006052,0.041862,0.020937,0.075081,,,,,,,,,,,,,,,51.859,,,,,,large_event_assessment,,9,,,Only 9 events above M6.5 in 51.9 years. Frequentist precision is limited; Bayesian CIs (Jeffreys) are reported alongside the frequentist (Garwood) interval.; Prior sensitivity: Jeffreys vs uniform upper-bound ratio = 0.961 (close to 1 means prior-insensitive).,0.961,0.079358,0.32945,0.085873,0.316749,,0.09247,0.32945,,0.173549,,,False,6.5,
