cell_id,lat_center,lon_center,threshold,horizon,horizon_years,n_events_above_threshold,exposure_years,expected_rate_per_year,expected_count,probability_at_least_one,probability_ci_lower,probability_ci_upper,low_statistics,notes
cell_00_00,20.5,88.5,5.0,24h,0.002738,0,51.859,0.0,0.0,0.0,0.0,0.000133,True,"Low-statistics cell (N=0 < 5); rate CI is wide; do not interpret point rate as precise.; Zero observed events above threshold; rate upper bound (Jeffreys 95%) = 0.0484/yr, not zero.; Low-statistics cell: forecast probability has a wide CI; do not interpret point estimate as precise."
cell_00_01,20.5,89.5,5.0,24h,0.002738,2,51.859,0.038566,0.000106,0.000106,2.2e-05,0.000339,True,Low-statistics cell (N=2 < 5); rate CI is wide; do not interpret point rate as precise.; Low-statistics cell: forecast probability has a wide CI; do not interpret point estimate as precise.
cell_00_02,20.5,90.5,5.0,24h,0.002738,0,51.859,0.0,0.0,0.0,0.0,0.000133,True,"Low-statistics cell (N=0 < 5); rate CI is wide; do not interpret point rate as precise.; Zero observed events above threshold; rate upper bound (Jeffreys 95%) = 0.0484/yr, not zero.; Low-statistics cell: forecast probability has a wide CI; do not interpret point estimate as precise."
cell_00_03,20.5,91.5,5.0,24h,0.002738,1,51.859,0.019283,5.3e-05,5.3e-05,6e-06,0.000247,True,Low-statistics cell (N=1 < 5); rate CI is wide; do not interpret point rate as precise.; Low-statistics cell: forecast probability has a wide CI; do not interpret point estimate as precise.
cell_00_04,20.5,92.5,5.0,24h,0.002738,2,51.859,0.038566,0.000106,0.000106,2.2e-05,0.000339,True,Low-statistics cell (N=2 < 5); rate CI is wide; do not interpret point rate as precise.; Low-statistics cell: forecast probability has a wide CI; do not interpret point estimate as precise.
cell_00_05,20.5,93.5,5.0,24h,0.002738,4,51.859,0.077133,0.000211,0.000211,7.1e-05,0.000502,True,Low-statistics cell (N=4 < 5); rate CI is wide; do not interpret point rate as precise.; Low-statistics cell: forecast probability has a wide CI; do not interpret point estimate as precise.
cell_00_06,20.5,94.5,5.0,24h,0.002738,12,51.859,0.231398,0.000634,0.000633,0.000346,0.001072,False,
cell_00_07,20.5,95.5,5.0,24h,0.002738,3,51.859,0.05785,0.000158,0.000158,4.5e-05,0.000423,True,Low-statistics cell (N=3 < 5); rate CI is wide; do not interpret point rate as precise.; Low-statistics cell: forecast probability has a wide CI; do not interpret point estimate as precise.
cell_01_00,21.5,88.5,5.0,24h,0.002738,1,51.859,0.019283,5.3e-05,5.3e-05,6e-06,0.000247,True,Low-statistics cell (N=1 < 5); rate CI is wide; do not interpret point rate as precise.; Low-statistics cell: forecast probability has a wide CI; do not interpret point estimate as precise.
cell_01_01,21.5,89.5,5.0,24h,0.002738,3,51.859,0.05785,0.000158,0.000158,4.5e-05,0.000423,True,Low-statistics cell (N=3 < 5); rate CI is wide; do not interpret point rate as precise.; Low-statistics cell: forecast probability has a wide CI; do not interpret point estimate as precise.
cell_01_02,21.5,90.5,5.0,24h,0.002738,0,51.859,0.0,0.0,0.0,0.0,0.000133,True,"Low-statistics cell (N=0 < 5); rate CI is wide; do not interpret point rate as precise.; Zero observed events above threshold; rate upper bound (Jeffreys 95%) = 0.0484/yr, not zero.; Low-statistics cell: forecast probability has a wide CI; do not interpret point estimate as precise."
cell_01_03,21.5,91.5,5.0,24h,0.002738,1,51.859,0.019283,5.3e-05,5.3e-05,6e-06,0.000247,True,Low-statistics cell (N=1 < 5); rate CI is wide; do not interpret point rate as precise.; Low-statistics cell: forecast probability has a wide CI; do not interpret point estimate as precise.
cell_01_04,21.5,92.5,5.0,24h,0.002738,2,51.859,0.038566,0.000106,0.000106,2.2e-05,0.000339,True,Low-statistics cell (N=2 < 5); rate CI is wide; do not interpret point rate as precise.; Low-statistics cell: forecast probability has a wide CI; do not interpret point estimate as precise.
cell_01_05,21.5,93.5,5.0,24h,0.002738,18,51.859,0.347097,0.00095,0.00095,0.000583,0.001468,False,
cell_01_06,21.5,94.5,5.0,24h,0.002738,18,51.859,0.347097,0.00095,0.00095,0.000583,0.001468,False,
cell_01_07,21.5,95.5,5.0,24h,0.002738,3,51.859,0.05785,0.000158,0.000158,4.5e-05,0.000423,True,Low-statistics cell (N=3 < 5); rate CI is wide; do not interpret point rate as precise.; Low-statistics cell: forecast probability has a wide CI; do not interpret point estimate as precise.
cell_02_00,22.5,88.5,5.0,24h,0.002738,0,51.859,0.0,0.0,0.0,0.0,0.000133,True,"Low-statistics cell (N=0 < 5); rate CI is wide; do not interpret point rate as precise.; Zero observed events above threshold; rate upper bound (Jeffreys 95%) = 0.0484/yr, not zero.; Low-statistics cell: forecast probability has a wide CI; do not interpret point estimate as precise."
cell_02_01,22.5,89.5,5.0,24h,0.002738,0,51.859,0.0,0.0,0.0,0.0,0.000133,True,"Low-statistics cell (N=0 < 5); rate CI is wide; do not interpret point rate as precise.; Zero observed events above threshold; rate upper bound (Jeffreys 95%) = 0.0484/yr, not zero.; Low-statistics cell: forecast probability has a wide CI; do not interpret point estimate as precise."
cell_02_02,22.5,90.5,5.0,24h,0.002738,0,51.859,0.0,0.0,0.0,0.0,0.000133,True,"Low-statistics cell (N=0 < 5); rate CI is wide; do not interpret point rate as precise.; Zero observed events above threshold; rate upper bound (Jeffreys 95%) = 0.0484/yr, not zero.; Low-statistics cell: forecast probability has a wide CI; do not interpret point estimate as precise."
cell_02_03,22.5,91.5,5.0,24h,0.002738,0,51.859,0.0,0.0,0.0,0.0,0.000133,True,"Low-statistics cell (N=0 < 5); rate CI is wide; do not interpret point rate as precise.; Zero observed events above threshold; rate upper bound (Jeffreys 95%) = 0.0484/yr, not zero.; Low-statistics cell: forecast probability has a wide CI; do not interpret point estimate as precise."
cell_02_04,22.5,92.5,5.0,24h,0.002738,15,51.859,0.289248,0.000792,0.000792,0.000463,0.001272,False,
cell_02_05,22.5,93.5,5.0,24h,0.002738,14,51.859,0.269965,0.000739,0.000739,0.000424,0.001206,False,
cell_02_06,22.5,94.5,5.0,24h,0.002738,45,51.859,0.867744,0.002376,0.002373,0.001754,0.003144,False,
cell_02_07,22.5,95.5,5.0,24h,0.002738,25,51.859,0.48208,0.00132,0.001319,0.000875,0.001915,False,
cell_03_00,23.5,88.5,5.0,24h,0.002738,0,51.859,0.0,0.0,0.0,0.0,0.000133,True,"Low-statistics cell (N=0 < 5); rate CI is wide; do not interpret point rate as precise.; Zero observed events above threshold; rate upper bound (Jeffreys 95%) = 0.0484/yr, not zero.; Low-statistics cell: forecast probability has a wide CI; do not interpret point estimate as precise."
cell_03_01,23.5,89.5,5.0,24h,0.002738,0,51.859,0.0,0.0,0.0,0.0,0.000133,True,"Low-statistics cell (N=0 < 5); rate CI is wide; do not interpret point rate as precise.; Zero observed events above threshold; rate upper bound (Jeffreys 95%) = 0.0484/yr, not zero.; Low-statistics cell: forecast probability has a wide CI; do not interpret point estimate as precise."
cell_03_02,23.5,90.5,5.0,24h,0.002738,2,51.859,0.038566,0.000106,0.000106,2.2e-05,0.000339,True,Low-statistics cell (N=2 < 5); rate CI is wide; do not interpret point rate as precise.; Low-statistics cell: forecast probability has a wide CI; do not interpret point estimate as precise.
cell_03_03,23.5,91.5,5.0,24h,0.002738,3,51.859,0.05785,0.000158,0.000158,4.5e-05,0.000423,True,Low-statistics cell (N=3 < 5); rate CI is wide; do not interpret point rate as precise.; Low-statistics cell: forecast probability has a wide CI; do not interpret point estimate as precise.
cell_03_04,23.5,92.5,5.0,24h,0.002738,8,51.859,0.154266,0.000422,0.000422,0.0002,0.000797,False,
cell_03_05,23.5,93.5,5.0,24h,0.002738,31,51.859,0.597779,0.001637,0.001635,0.001133,0.002289,False,
cell_03_06,23.5,94.5,5.0,24h,0.002738,67,51.859,1.291974,0.003537,0.003531,0.002761,0.004453,False,
cell_03_07,23.5,95.5,5.0,24h,0.002738,12,51.859,0.231398,0.000634,0.000633,0.000346,0.001072,False,
cell_04_00,24.5,88.5,5.0,24h,0.002738,0,51.859,0.0,0.0,0.0,0.0,0.000133,True,"Low-statistics cell (N=0 < 5); rate CI is wide; do not interpret point rate as precise.; Zero observed events above threshold; rate upper bound (Jeffreys 95%) = 0.0484/yr, not zero.; Low-statistics cell: forecast probability has a wide CI; do not interpret point estimate as precise."
cell_04_01,24.5,89.5,5.0,24h,0.002738,0,51.859,0.0,0.0,0.0,0.0,0.000133,True,"Low-statistics cell (N=0 < 5); rate CI is wide; do not interpret point rate as precise.; Zero observed events above threshold; rate upper bound (Jeffreys 95%) = 0.0484/yr, not zero.; Low-statistics cell: forecast probability has a wide CI; do not interpret point estimate as precise."
cell_04_02,24.5,90.5,5.0,24h,0.002738,2,51.859,0.038566,0.000106,0.000106,2.2e-05,0.000339,True,Low-statistics cell (N=2 < 5); rate CI is wide; do not interpret point rate as precise.; Low-statistics cell: forecast probability has a wide CI; do not interpret point estimate as precise.
cell_04_03,24.5,91.5,5.0,24h,0.002738,4,51.859,0.077133,0.000211,0.000211,7.1e-05,0.000502,True,Low-statistics cell (N=4 < 5); rate CI is wide; do not interpret point rate as precise.; Low-statistics cell: forecast probability has a wide CI; do not interpret point estimate as precise.
cell_04_04,24.5,92.5,5.0,24h,0.002738,15,51.859,0.289248,0.000792,0.000792,0.000463,0.001272,False,
cell_04_05,24.5,93.5,5.0,24h,0.002738,25,51.859,0.48208,0.00132,0.001319,0.000875,0.001915,False,
cell_04_06,24.5,94.5,5.0,24h,0.002738,66,51.859,1.272691,0.003484,0.003478,0.002714,0.004394,False,
cell_04_07,24.5,95.5,5.0,24h,0.002738,35,51.859,0.674912,0.001848,0.001846,0.001308,0.002536,False,
cell_05_00,25.5,88.5,5.0,24h,0.002738,2,51.859,0.038566,0.000106,0.000106,2.2e-05,0.000339,True,Low-statistics cell (N=2 < 5); rate CI is wide; do not interpret point rate as precise.; Low-statistics cell: forecast probability has a wide CI; do not interpret point estimate as precise.
cell_05_01,25.5,89.5,5.0,24h,0.002738,1,51.859,0.019283,5.3e-05,5.3e-05,6e-06,0.000247,True,Low-statistics cell (N=1 < 5); rate CI is wide; do not interpret point rate as precise.; Low-statistics cell: forecast probability has a wide CI; do not interpret point estimate as precise.
cell_05_02,25.5,90.5,5.0,24h,0.002738,7,51.859,0.134982,0.00037,0.000369,0.000165,0.000725,False,
cell_05_03,25.5,91.5,5.0,24h,0.002738,9,51.859,0.173549,0.000475,0.000475,0.000235,0.000867,False,
cell_05_04,25.5,92.5,5.0,24h,0.002738,5,51.859,0.096416,0.000264,0.000264,0.000101,0.000578,False,
cell_05_05,25.5,93.5,5.0,24h,0.002738,3,51.859,0.05785,0.000158,0.000158,4.5e-05,0.000423,True,Low-statistics cell (N=3 < 5); rate CI is wide; do not interpret point rate as precise.; Low-statistics cell: forecast probability has a wide CI; do not interpret point estimate as precise.
cell_05_06,25.5,94.5,5.0,24h,0.002738,14,51.859,0.269965,0.000739,0.000739,0.000424,0.001206,False,
cell_05_07,25.5,95.5,5.0,24h,0.002738,30,51.859,0.578496,0.001584,0.001583,0.00109,0.002227,False,
cell_06_00,26.5,88.5,5.0,24h,0.002738,3,51.859,0.05785,0.000158,0.000158,4.5e-05,0.000423,True,Low-statistics cell (N=3 < 5); rate CI is wide; do not interpret point rate as precise.; Low-statistics cell: forecast probability has a wide CI; do not interpret point estimate as precise.
cell_06_01,26.5,89.5,5.0,24h,0.002738,1,51.859,0.019283,5.3e-05,5.3e-05,6e-06,0.000247,True,Low-statistics cell (N=1 < 5); rate CI is wide; do not interpret point rate as precise.; Low-statistics cell: forecast probability has a wide CI; do not interpret point estimate as precise.
cell_06_02,26.5,90.5,5.0,24h,0.002738,5,51.859,0.096416,0.000264,0.000264,0.000101,0.000578,False,
cell_06_03,26.5,91.5,5.0,24h,0.002738,6,51.859,0.115699,0.000317,0.000317,0.000132,0.000653,False,
cell_06_04,26.5,92.5,5.0,24h,0.002738,24,51.859,0.462797,0.001267,0.001266,0.000833,0.001852,False,
cell_06_05,26.5,93.5,5.0,24h,0.002738,13,51.859,0.250681,0.000686,0.000686,0.000385,0.00114,False,
cell_06_06,26.5,94.5,5.0,24h,0.002738,2,51.859,0.038566,0.000106,0.000106,2.2e-05,0.000339,True,Low-statistics cell (N=2 < 5); rate CI is wide; do not interpret point rate as precise.; Low-statistics cell: forecast probability has a wide CI; do not interpret point estimate as precise.
cell_06_07,26.5,95.5,5.0,24h,0.002738,10,51.859,0.192832,0.000528,0.000528,0.000271,0.000936,False,
cell_07_00,27.5,88.5,5.0,24h,0.002738,20,51.859,0.385664,0.001056,0.001055,0.000665,0.001597,False,
cell_07_01,27.5,89.5,5.0,24h,0.002738,2,51.859,0.038566,0.000106,0.000106,2.2e-05,0.000339,True,Low-statistics cell (N=2 < 5); rate CI is wide; do not interpret point rate as precise.; Low-statistics cell: forecast probability has a wide CI; do not interpret point estimate as precise.
cell_07_02,27.5,90.5,5.0,24h,0.002738,2,51.859,0.038566,0.000106,0.000106,2.2e-05,0.000339,True,Low-statistics cell (N=2 < 5); rate CI is wide; do not interpret point rate as precise.; Low-statistics cell: forecast probability has a wide CI; do not interpret point estimate as precise.
cell_07_03,27.5,91.5,5.0,24h,0.002738,9,51.859,0.173549,0.000475,0.000475,0.000235,0.000867,False,
cell_07_04,27.5,92.5,5.0,24h,0.002738,29,51.859,0.559213,0.001531,0.00153,0.001046,0.002165,False,
cell_07_05,27.5,93.5,5.0,24h,0.002738,1,51.859,0.019283,5.3e-05,5.3e-05,6e-06,0.000247,True,Low-statistics cell (N=1 < 5); rate CI is wide; do not interpret point rate as precise.; Low-statistics cell: forecast probability has a wide CI; do not interpret point estimate as precise.
cell_07_06,27.5,94.5,5.0,24h,0.002738,2,51.859,0.038566,0.000106,0.000106,2.2e-05,0.000339,True,Low-statistics cell (N=2 < 5); rate CI is wide; do not interpret point rate as precise.; Low-statistics cell: forecast probability has a wide CI; do not interpret point estimate as precise.
cell_07_07,27.5,95.5,5.0,24h,0.002738,1,51.859,0.019283,5.3e-05,5.3e-05,6e-06,0.000247,True,Low-statistics cell (N=1 < 5); rate CI is wide; do not interpret point rate as precise.; Low-statistics cell: forecast probability has a wide CI; do not interpret point estimate as precise.
