cell_id,lat_center,lon_center,threshold,horizon,horizon_years,n_events_above_threshold,exposure_years,expected_rate_per_year,expected_count,probability_at_least_one,probability_ci_lower,probability_ci_upper,low_statistics,notes
cell_00_00,20.5,88.5,5.0,7d,0.019165,0,51.859,0.0,0.0,0.0,0.0,0.000928,True,"Low-statistics cell (N=0 < 5); rate CI is wide; do not interpret point rate as precise.; Zero observed events above threshold; rate upper bound (Jeffreys 95%) = 0.0484/yr, not zero.; Low-statistics cell: forecast probability has a wide CI; do not interpret point estimate as precise."
cell_00_01,20.5,89.5,5.0,7d,0.019165,2,51.859,0.038566,0.000739,0.000739,0.000154,0.002368,True,Low-statistics cell (N=2 < 5); rate CI is wide; do not interpret point rate as precise.; Low-statistics cell: forecast probability has a wide CI; do not interpret point estimate as precise.
cell_00_02,20.5,90.5,5.0,7d,0.019165,0,51.859,0.0,0.0,0.0,0.0,0.000928,True,"Low-statistics cell (N=0 < 5); rate CI is wide; do not interpret point rate as precise.; Zero observed events above threshold; rate upper bound (Jeffreys 95%) = 0.0484/yr, not zero.; Low-statistics cell: forecast probability has a wide CI; do not interpret point estimate as precise."
cell_00_03,20.5,91.5,5.0,7d,0.019165,1,51.859,0.019283,0.00037,0.000369,4e-05,0.001726,True,Low-statistics cell (N=1 < 5); rate CI is wide; do not interpret point rate as precise.; Low-statistics cell: forecast probability has a wide CI; do not interpret point estimate as precise.
cell_00_04,20.5,92.5,5.0,7d,0.019165,2,51.859,0.038566,0.000739,0.000739,0.000154,0.002368,True,Low-statistics cell (N=2 < 5); rate CI is wide; do not interpret point rate as precise.; Low-statistics cell: forecast probability has a wide CI; do not interpret point estimate as precise.
cell_00_05,20.5,93.5,5.0,7d,0.019165,4,51.859,0.077133,0.001478,0.001477,0.000499,0.003509,True,Low-statistics cell (N=4 < 5); rate CI is wide; do not interpret point rate as precise.; Low-statistics cell: forecast probability has a wide CI; do not interpret point estimate as precise.
cell_00_06,20.5,94.5,5.0,7d,0.019165,12,51.859,0.231398,0.004435,0.004425,0.002421,0.007483,False,
cell_00_07,20.5,95.5,5.0,7d,0.019165,3,51.859,0.05785,0.001109,0.001108,0.000312,0.002954,True,Low-statistics cell (N=3 < 5); rate CI is wide; do not interpret point rate as precise.; Low-statistics cell: forecast probability has a wide CI; do not interpret point estimate as precise.
cell_01_00,21.5,88.5,5.0,7d,0.019165,1,51.859,0.019283,0.00037,0.000369,4e-05,0.001726,True,Low-statistics cell (N=1 < 5); rate CI is wide; do not interpret point rate as precise.; Low-statistics cell: forecast probability has a wide CI; do not interpret point estimate as precise.
cell_01_01,21.5,89.5,5.0,7d,0.019165,3,51.859,0.05785,0.001109,0.001108,0.000312,0.002954,True,Low-statistics cell (N=3 < 5); rate CI is wide; do not interpret point rate as precise.; Low-statistics cell: forecast probability has a wide CI; do not interpret point estimate as precise.
cell_01_02,21.5,90.5,5.0,7d,0.019165,0,51.859,0.0,0.0,0.0,0.0,0.000928,True,"Low-statistics cell (N=0 < 5); rate CI is wide; do not interpret point rate as precise.; Zero observed events above threshold; rate upper bound (Jeffreys 95%) = 0.0484/yr, not zero.; Low-statistics cell: forecast probability has a wide CI; do not interpret point estimate as precise."
cell_01_03,21.5,91.5,5.0,7d,0.019165,1,51.859,0.019283,0.00037,0.000369,4e-05,0.001726,True,Low-statistics cell (N=1 < 5); rate CI is wide; do not interpret point rate as precise.; Low-statistics cell: forecast probability has a wide CI; do not interpret point estimate as precise.
cell_01_04,21.5,92.5,5.0,7d,0.019165,2,51.859,0.038566,0.000739,0.000739,0.000154,0.002368,True,Low-statistics cell (N=2 < 5); rate CI is wide; do not interpret point rate as precise.; Low-statistics cell: forecast probability has a wide CI; do not interpret point estimate as precise.
cell_01_05,21.5,93.5,5.0,7d,0.019165,18,51.859,0.347097,0.006652,0.00663,0.004076,0.010234,False,
cell_01_06,21.5,94.5,5.0,7d,0.019165,18,51.859,0.347097,0.006652,0.00663,0.004076,0.010234,False,
cell_01_07,21.5,95.5,5.0,7d,0.019165,3,51.859,0.05785,0.001109,0.001108,0.000312,0.002954,True,Low-statistics cell (N=3 < 5); rate CI is wide; do not interpret point rate as precise.; Low-statistics cell: forecast probability has a wide CI; do not interpret point estimate as precise.
cell_02_00,22.5,88.5,5.0,7d,0.019165,0,51.859,0.0,0.0,0.0,0.0,0.000928,True,"Low-statistics cell (N=0 < 5); rate CI is wide; do not interpret point rate as precise.; Zero observed events above threshold; rate upper bound (Jeffreys 95%) = 0.0484/yr, not zero.; Low-statistics cell: forecast probability has a wide CI; do not interpret point estimate as precise."
cell_02_01,22.5,89.5,5.0,7d,0.019165,0,51.859,0.0,0.0,0.0,0.0,0.000928,True,"Low-statistics cell (N=0 < 5); rate CI is wide; do not interpret point rate as precise.; Zero observed events above threshold; rate upper bound (Jeffreys 95%) = 0.0484/yr, not zero.; Low-statistics cell: forecast probability has a wide CI; do not interpret point estimate as precise."
cell_02_02,22.5,90.5,5.0,7d,0.019165,0,51.859,0.0,0.0,0.0,0.0,0.000928,True,"Low-statistics cell (N=0 < 5); rate CI is wide; do not interpret point rate as precise.; Zero observed events above threshold; rate upper bound (Jeffreys 95%) = 0.0484/yr, not zero.; Low-statistics cell: forecast probability has a wide CI; do not interpret point estimate as precise."
cell_02_03,22.5,91.5,5.0,7d,0.019165,0,51.859,0.0,0.0,0.0,0.0,0.000928,True,"Low-statistics cell (N=0 < 5); rate CI is wide; do not interpret point rate as precise.; Zero observed events above threshold; rate upper bound (Jeffreys 95%) = 0.0484/yr, not zero.; Low-statistics cell: forecast probability has a wide CI; do not interpret point estimate as precise."
cell_02_04,22.5,92.5,5.0,7d,0.019165,15,51.859,0.289248,0.005543,0.005528,0.003236,0.008873,False,
cell_02_05,22.5,93.5,5.0,7d,0.019165,14,51.859,0.269965,0.005174,0.00516,0.002961,0.008413,False,
cell_02_06,22.5,94.5,5.0,7d,0.019165,45,51.859,0.867744,0.01663,0.016493,0.012213,0.0218,False,
cell_02_07,22.5,95.5,5.0,7d,0.019165,25,51.859,0.48208,0.009239,0.009196,0.006109,0.013328,False,
cell_03_00,23.5,88.5,5.0,7d,0.019165,0,51.859,0.0,0.0,0.0,0.0,0.000928,True,"Low-statistics cell (N=0 < 5); rate CI is wide; do not interpret point rate as precise.; Zero observed events above threshold; rate upper bound (Jeffreys 95%) = 0.0484/yr, not zero.; Low-statistics cell: forecast probability has a wide CI; do not interpret point estimate as precise."
cell_03_01,23.5,89.5,5.0,7d,0.019165,0,51.859,0.0,0.0,0.0,0.0,0.000928,True,"Low-statistics cell (N=0 < 5); rate CI is wide; do not interpret point rate as precise.; Zero observed events above threshold; rate upper bound (Jeffreys 95%) = 0.0484/yr, not zero.; Low-statistics cell: forecast probability has a wide CI; do not interpret point estimate as precise."
cell_03_02,23.5,90.5,5.0,7d,0.019165,2,51.859,0.038566,0.000739,0.000739,0.000154,0.002368,True,Low-statistics cell (N=2 < 5); rate CI is wide; do not interpret point rate as precise.; Low-statistics cell: forecast probability has a wide CI; do not interpret point estimate as precise.
cell_03_03,23.5,91.5,5.0,7d,0.019165,3,51.859,0.05785,0.001109,0.001108,0.000312,0.002954,True,Low-statistics cell (N=3 < 5); rate CI is wide; do not interpret point rate as precise.; Low-statistics cell: forecast probability has a wide CI; do not interpret point estimate as precise.
cell_03_04,23.5,92.5,5.0,7d,0.019165,8,51.859,0.154266,0.002956,0.002952,0.001397,0.005563,False,
cell_03_05,23.5,93.5,5.0,7d,0.019165,31,51.859,0.597779,0.011456,0.011391,0.007905,0.015916,False,
cell_03_06,23.5,94.5,5.0,7d,0.019165,67,51.859,1.291974,0.024761,0.024457,0.019166,0.030755,False,
cell_03_07,23.5,95.5,5.0,7d,0.019165,12,51.859,0.231398,0.004435,0.004425,0.002421,0.007483,False,
cell_04_00,24.5,88.5,5.0,7d,0.019165,0,51.859,0.0,0.0,0.0,0.0,0.000928,True,"Low-statistics cell (N=0 < 5); rate CI is wide; do not interpret point rate as precise.; Zero observed events above threshold; rate upper bound (Jeffreys 95%) = 0.0484/yr, not zero.; Low-statistics cell: forecast probability has a wide CI; do not interpret point estimate as precise."
cell_04_01,24.5,89.5,5.0,7d,0.019165,0,51.859,0.0,0.0,0.0,0.0,0.000928,True,"Low-statistics cell (N=0 < 5); rate CI is wide; do not interpret point rate as precise.; Zero observed events above threshold; rate upper bound (Jeffreys 95%) = 0.0484/yr, not zero.; Low-statistics cell: forecast probability has a wide CI; do not interpret point estimate as precise."
cell_04_02,24.5,90.5,5.0,7d,0.019165,2,51.859,0.038566,0.000739,0.000739,0.000154,0.002368,True,Low-statistics cell (N=2 < 5); rate CI is wide; do not interpret point rate as precise.; Low-statistics cell: forecast probability has a wide CI; do not interpret point estimate as precise.
cell_04_03,24.5,91.5,5.0,7d,0.019165,4,51.859,0.077133,0.001478,0.001477,0.000499,0.003509,True,Low-statistics cell (N=4 < 5); rate CI is wide; do not interpret point rate as precise.; Low-statistics cell: forecast probability has a wide CI; do not interpret point estimate as precise.
cell_04_04,24.5,92.5,5.0,7d,0.019165,15,51.859,0.289248,0.005543,0.005528,0.003236,0.008873,False,
cell_04_05,24.5,93.5,5.0,7d,0.019165,25,51.859,0.48208,0.009239,0.009196,0.006109,0.013328,False,
cell_04_06,24.5,94.5,5.0,7d,0.019165,66,51.859,1.272691,0.024391,0.024096,0.018847,0.030354,False,
cell_04_07,24.5,95.5,5.0,7d,0.019165,35,51.859,0.674912,0.012935,0.012851,0.009122,0.017617,False,
cell_05_00,25.5,88.5,5.0,7d,0.019165,2,51.859,0.038566,0.000739,0.000739,0.000154,0.002368,True,Low-statistics cell (N=2 < 5); rate CI is wide; do not interpret point rate as precise.; Low-statistics cell: forecast probability has a wide CI; do not interpret point estimate as precise.
