origin_time,horizon,threshold,window_type,mainshock_mag,mainshock_time,days_since_mainshock,n_train_events,forecast_probability_etas,forecast_probability_poisson,observed_binary,n_observed_in_horizon
1973-06-01T23:39:56.700000+00:00,7d,5.0,post_mainshock,6.045000000000001,1973-05-31T23:39:56.700000+00:00,1,3,nan,0.0,0,0
1973-06-07T23:39:56.700000+00:00,7d,5.0,post_mainshock,6.045000000000001,1973-05-31T23:39:56.700000+00:00,7,3,nan,0.0,0,0
1973-06-30T23:39:56.700000+00:00,7d,5.0,post_mainshock,6.045000000000001,1973-05-31T23:39:56.700000+00:00,30,3,nan,0.0,1,2
1973-07-05T16:44:11.400000+00:00,7d,5.0,post_mainshock,5.45,1973-07-04T16:44:11.400000+00:00,1,5,nan,0.0,0,0
1973-07-11T16:44:11.400000+00:00,7d,5.0,post_mainshock,5.45,1973-07-04T16:44:11.400000+00:00,7,5,nan,0.0,0,0
1973-08-03T16:44:11.400000+00:00,7d,5.0,post_mainshock,5.45,1973-07-04T16:44:11.400000+00:00,30,7,nan,0.0,0,0
1973-07-05T21:04:46.300000+00:00,7d,5.0,post_mainshock,5.45,1973-07-04T21:04:46.300000+00:00,1,5,nan,0.0,0,0
1973-07-11T21:04:46.300000+00:00,7d,5.0,post_mainshock,5.45,1973-07-04T21:04:46.300000+00:00,7,5,nan,0.0,0,0
1973-08-03T21:04:46.300000+00:00,7d,5.0,post_mainshock,5.45,1973-07-04T21:04:46.300000+00:00,30,7,nan,0.0,0,0
1973-07-28T20:23:50.700000+00:00,7d,5.0,post_mainshock,5.535,1973-07-27T20:23:50.700000+00:00,1,7,nan,0.0,0,0
1973-08-03T20:23:50.700000+00:00,7d,5.0,post_mainshock,5.535,1973-07-27T20:23:50.700000+00:00,7,7,nan,0.0,0,0
1973-08-26T20:23:50.700000+00:00,7d,5.0,post_mainshock,5.535,1973-07-27T20:23:50.700000+00:00,30,8,nan,0.0,0,0
1973-08-16T09:00:54+00:00,7d,5.0,post_mainshock,5.025,1973-08-15T09:00:54+00:00,1,8,nan,0.0,0,0
1973-08-22T09:00:54+00:00,7d,5.0,post_mainshock,5.025,1973-08-15T09:00:54+00:00,7,8,nan,0.0,0,0
1973-09-14T09:00:54+00:00,7d,5.0,post_mainshock,5.025,1973-08-15T09:00:54+00:00,30,9,nan,0.0,0,0
1973-09-12T15:55:59.500000+00:00,7d,5.0,post_mainshock,5.11,1973-09-11T15:55:59.500000+00:00,1,9,nan,0.0,0,0
1973-09-18T15:55:59.500000+00:00,7d,5.0,post_mainshock,5.11,1973-09-11T15:55:59.500000+00:00,7,9,nan,0.0,0,0
1973-10-11T15:55:59.500000+00:00,7d,5.0,post_mainshock,5.11,1973-09-11T15:55:59.500000+00:00,30,10,nan,0.0,0,0
1973-10-10T04:01:47.400000+00:00,7d,5.0,post_mainshock,5.11,1973-10-09T04:01:47.400000+00:00,1,10,nan,0.0,0,0
1973-10-16T04:01:47.400000+00:00,7d,5.0,post_mainshock,5.11,1973-10-09T04:01:47.400000+00:00,7,10,nan,0.0,0,0
1973-11-08T04:01:47.400000+00:00,7d,5.0,post_mainshock,5.11,1973-10-09T04:01:47.400000+00:00,30,12,nan,0.0,0,0
1973-10-31T02:45:00.600000+00:00,7d,5.0,post_mainshock,5.195,1973-10-30T02:45:00.600000+00:00,1,11,nan,0.0,1,1
1973-11-06T02:45:00.600000+00:00,7d,5.0,post_mainshock,5.195,1973-10-30T02:45:00.600000+00:00,7,12,nan,0.0,0,0
1973-11-29T02:45:00.600000+00:00,7d,5.0,post_mainshock,5.195,1973-10-30T02:45:00.600000+00:00,30,12,nan,0.0,0,0
1973-11-03T12:09:55.200000+00:00,7d,5.0,post_mainshock,5.11,1973-11-02T12:09:55.200000+00:00,1,12,nan,0.0,0,0
1973-11-09T12:09:55.200000+00:00,7d,5.0,post_mainshock,5.11,1973-11-02T12:09:55.200000+00:00,7,12,nan,0.0,0,0
1973-12-02T12:09:55.200000+00:00,7d,5.0,post_mainshock,5.11,1973-11-02T12:09:55.200000+00:00,30,12,nan,0.0,0,0
1973-12-27T01:42:21.600000+00:00,7d,5.0,post_mainshock,5.365,1973-12-26T01:42:21.600000+00:00,1,14,nan,0.0,0,0
1974-01-02T01:42:21.600000+00:00,7d,5.0,post_mainshock,5.365,1973-12-26T01:42:21.600000+00:00,7,14,nan,0.0,1,1
1974-01-25T01:42:21.600000+00:00,7d,5.0,post_mainshock,5.365,1973-12-26T01:42:21.600000+00:00,30,16,nan,0.0,0,0
1974-01-08T05:18:24.300000+00:00,7d,5.0,post_mainshock,5.195,1974-01-07T05:18:24.300000+00:00,1,15,nan,0.0,0,0
1974-01-14T05:18:24.300000+00:00,7d,5.0,post_mainshock,5.195,1974-01-07T05:18:24.300000+00:00,7,15,nan,0.0,1,1
1974-02-06T05:18:24.300000+00:00,7d,5.0,post_mainshock,5.195,1974-01-07T05:18:24.300000+00:00,30,16,nan,0.0,0,0
1974-01-21T20:05:18.700000+00:00,7d,5.0,post_mainshock,5.11,1974-01-20T20:05:18.700000+00:00,1,16,nan,0.0,0,0
1974-01-27T20:05:18.700000+00:00,7d,5.0,post_mainshock,5.11,1974-01-20T20:05:18.700000+00:00,7,16,nan,0.0,0,0
1974-02-19T20:05:18.700000+00:00,7d,5.0,post_mainshock,5.11,1974-01-20T20:05:18.700000+00:00,30,16,nan,0.0,0,0
1974-04-06T03:46:30.100000+00:00,7d,5.0,post_mainshock,5.28,1974-04-05T03:46:30.100000+00:00,1,17,nan,0.0,0,0
1974-04-12T03:46:30.100000+00:00,7d,5.0,post_mainshock,5.28,1974-04-05T03:46:30.100000+00:00,7,17,nan,0.0,0,0
1974-05-05T03:46:30.100000+00:00,7d,5.0,post_mainshock,5.28,1974-04-05T03:46:30.100000+00:00,30,17,nan,0.0,0,0
1974-09-22T06:27:41.800000+00:00,7d,5.0,post_mainshock,5.025,1974-09-21T06:27:41.800000+00:00,1,24,nan,0.0,0,0
1974-09-28T06:27:41.800000+00:00,7d,5.0,post_mainshock,5.025,1974-09-21T06:27:41.800000+00:00,7,24,nan,0.0,0,0
1974-10-21T06:27:41.800000+00:00,7d,5.0,post_mainshock,5.025,1974-09-21T06:27:41.800000+00:00,30,24,nan,0.0,0,0
1974-09-22T17:53:34.200000+00:00,7d,5.0,post_mainshock,5.11,1974-09-21T17:53:34.200000+00:00,1,24,nan,0.0,0,0
1974-09-28T17:53:34.200000+00:00,7d,5.0,post_mainshock,5.11,1974-09-21T17:53:34.200000+00:00,7,24,nan,0.0,0,0
1974-10-21T17:53:34.200000+00:00,7d,5.0,post_mainshock,5.11,1974-09-21T17:53:34.200000+00:00,30,24,nan,0.0,0,0
1974-11-17T22:07:25+00:00,7d,5.0,post_mainshock,5.025,1974-11-16T22:07:25+00:00,1,25,nan,0.0,1,1
1974-11-23T22:07:25+00:00,7d,5.0,post_mainshock,5.025,1974-11-16T22:07:25+00:00,7,26,nan,0.0,0,0
1974-12-16T22:07:25+00:00,7d,5.0,post_mainshock,5.025,1974-11-16T22:07:25+00:00,30,28,nan,0.0,0,0
1974-11-22T19:45:05.600000+00:00,7d,5.0,post_mainshock,5.365,1974-11-21T19:45:05.600000+00:00,1,26,nan,0.0,0,0
1974-11-28T19:45:05.600000+00:00,7d,5.0,post_mainshock,5.365,1974-11-21T19:45:05.600000+00:00,7,26,nan,0.0,1,1
1974-12-21T19:45:05.600000+00:00,7d,5.0,post_mainshock,5.365,1974-11-21T19:45:05.600000+00:00,30,28,nan,0.0,0,0
1974-12-03T01:08:45.900000+00:00,7d,5.0,post_mainshock,5.11,1974-12-02T01:08:45.900000+00:00,1,27,nan,0.0,1,1
1974-12-09T01:08:45.900000+00:00,7d,5.0,post_mainshock,5.11,1974-12-02T01:08:45.900000+00:00,7,28,nan,0.0,0,0
1975-01-01T01:08:45.900000+00:00,7d,5.0,post_mainshock,5.11,1974-12-02T01:08:45.900000+00:00,30,28,nan,0.0,0,0
1974-12-08T13:54:58+00:00,7d,5.0,post_mainshock,5.11,1974-12-07T13:54:58+00:00,1,28,nan,0.0,0,0
1974-12-14T13:54:58+00:00,7d,5.0,post_mainshock,5.11,1974-12-07T13:54:58+00:00,7,28,nan,0.0,0,0
1975-01-06T13:54:58+00:00,7d,5.0,post_mainshock,5.11,1974-12-07T13:54:58+00:00,30,28,nan,0.0,0,0
1975-01-24T01:37:42.900000+00:00,7d,5.0,post_mainshock,5.11,1975-01-23T01:37:42.900000+00:00,1,30,nan,0.0,0,0
1975-01-30T01:37:42.900000+00:00,7d,5.0,post_mainshock,5.11,1975-01-23T01:37:42.900000+00:00,7,30,nan,0.0,0,0
1975-02-22T01:37:42.900000+00:00,7d,5.0,post_mainshock,5.11,1975-01-23T01:37:42.900000+00:00,30,30,nan,0.0,0,0
1975-03-04T19:24:23.100000+00:00,7d,5.0,post_mainshock,5.28,1975-03-03T19:24:23.100000+00:00,1,32,nan,0.0,0,0
1975-03-10T19:24:23.100000+00:00,7d,5.0,post_mainshock,5.28,1975-03-03T19:24:23.100000+00:00,7,32,nan,0.0,0,0
1975-04-02T19:24:23.100000+00:00,7d,5.0,post_mainshock,5.28,1975-03-03T19:24:23.100000+00:00,30,32,nan,0.0,0,0
1975-05-22T03:16:20.600000+00:00,7d,5.0,post_mainshock,5.535,1975-05-21T03:16:20.600000+00:00,1,33,nan,0.0,0,0
1975-05-28T03:16:20.600000+00:00,7d,5.0,post_mainshock,5.535,1975-05-21T03:16:20.600000+00:00,7,33,nan,0.0,0,0
