K,alpha,beats_poisson,brier_etas,brier_improvement,brier_poisson,c_days,gamma,information_gain,label,loglik_etas,loglik_poisson,mean_etas_prob,mean_poisson_prob,n_origins,n_positive,p,q,sigma_km
0.005,0.8,False,0.3396,-0.0984,0.2412,0.05,0.5,-0.2139,OAT_K=0.005,-0.8894,-0.6755,0.2885,0.6281,150,90,1.1,1.0,10.0
0.01,0.8,False,0.3374,-0.0962,0.2412,0.05,0.5,-0.2085,OAT_K=0.01,-0.884,-0.6755,0.2934,0.6281,150,90,1.1,1.0,10.0
0.02,0.8,False,0.3333,-0.0921,0.2412,0.05,0.5,-0.1983,OAT_K=0.02,-0.8738,-0.6755,0.3029,0.6281,150,90,1.1,1.0,10.0
0.05,0.8,False,0.3227,-0.0816,0.2412,0.05,0.5,-0.1724,OAT_K=0.05,-0.8479,-0.6755,0.33,0.6281,150,90,1.1,1.0,10.0
0.1,0.8,False,0.3087,-0.0675,0.2412,0.05,0.5,-0.141,OAT_K=0.1,-0.8165,-0.6755,0.3708,0.6281,150,90,1.1,1.0,10.0
0.02,0.3,False,0.3372,-0.0961,0.2412,0.05,0.5,-0.2081,OAT_alpha=0.3,-0.8836,-0.6755,0.2914,0.6281,150,90,1.1,1.0,10.0
0.02,0.5,False,0.3361,-0.0949,0.2412,0.05,0.5,-0.2052,OAT_alpha=0.5,-0.8807,-0.6755,0.2941,0.6281,150,90,1.1,1.0,10.0
0.02,0.8,False,0.3333,-0.0921,0.2412,0.05,0.5,-0.1983,OAT_alpha=0.8,-0.8738,-0.6755,0.3029,0.6281,150,90,1.1,1.0,10.0
0.02,1.0,False,0.3308,-0.0896,0.2412,0.05,0.5,-0.1915,OAT_alpha=1.0,-0.867,-0.6755,0.3167,0.6281,150,90,1.1,1.0,10.0
0.02,1.5,False,0.3092,-0.0681,0.2412,0.05,0.5,-0.2524,OAT_alpha=1.5,-0.9279,-0.6755,0.424,0.6281,150,90,1.1,1.0,10.0
0.02,0.8,False,0.3347,-0.0935,0.2412,0.01,0.5,-0.2017,OAT_c_days=0.01,-0.8772,-0.6755,0.3006,0.6281,150,90,1.1,1.0,10.0
0.02,0.8,False,0.3333,-0.0921,0.2412,0.05,0.5,-0.1983,OAT_c_days=0.05,-0.8738,-0.6755,0.3029,0.6281,150,90,1.1,1.0,10.0
0.02,0.8,False,0.3326,-0.0914,0.2412,0.1,0.5,-0.1966,OAT_c_days=0.1,-0.8721,-0.6755,0.304,0.6281,150,90,1.1,1.0,10.0
0.02,0.8,False,0.3313,-0.0902,0.2412,0.3,0.5,-0.1937,OAT_c_days=0.3,-0.8692,-0.6755,0.3055,0.6281,150,90,1.1,1.0,10.0
0.02,0.8,False,0.3351,-0.0939,0.2412,0.05,0.5,-0.2028,OAT_p=1.05,-0.8782,-0.6755,0.2977,0.6281,150,90,1.05,1.0,10.0
0.02,0.8,False,0.3333,-0.0921,0.2412,0.05,0.5,-0.1983,OAT_p=1.1,-0.8738,-0.6755,0.3029,0.6281,150,90,1.1,1.0,10.0
0.02,0.8,False,0.3348,-0.0937,0.2412,0.05,0.5,-0.2017,OAT_p=1.2,-0.8772,-0.6755,0.3031,0.6281,150,90,1.2,1.0,10.0
0.02,0.8,False,0.3377,-0.0965,0.2412,0.05,0.5,-0.2085,OAT_p=1.3,-0.884,-0.6755,0.2995,0.6281,150,90,1.3,1.0,10.0
0.02,0.8,False,0.3333,-0.0921,0.2412,0.05,0.5,-0.1983,OAT_sigma_km=3.0,-0.8738,-0.6755,0.3029,0.6281,150,90,1.1,1.0,3.0
0.02,0.8,False,0.3333,-0.0921,0.2412,0.05,0.5,-0.1983,OAT_sigma_km=5.0,-0.8738,-0.6755,0.3029,0.6281,150,90,1.1,1.0,5.0
0.02,0.8,False,0.3333,-0.0921,0.2412,0.05,0.5,-0.1983,OAT_sigma_km=10.0,-0.8738,-0.6755,0.3029,0.6281,150,90,1.1,1.0,10.0
0.02,0.8,False,0.3333,-0.0921,0.2412,0.05,0.5,-0.1983,OAT_sigma_km=20.0,-0.8738,-0.6755,0.3029,0.6281,150,90,1.1,1.0,20.0
0.02,0.8,False,0.3333,-0.0921,0.2412,0.05,0.5,-0.1983,OAT_sigma_km=50.0,-0.8738,-0.6755,0.3029,0.6281,150,90,1.1,1.0,50.0
0.015,1.0,False,0.3331,-0.092,0.2412,0.05,0.4,-0.1975,published_prior:ogata1998_california|Ogata (1998) JASA — California shallow strike-slip,-0.873,-0.6755,0.3089,0.6281,150,90,1.1,1.0,5.0
0.03,0.8,False,nan,nan,0.2412,0.03,0.5,nan,published_prior:zhuang2011_japan|Zhuang et al. (2011) — Japan subduction,nan,-0.6755,nan,0.6281,150,90,1.0,1.5,8.0
0.02,0.7,False,0.3344,-0.0932,0.2412,0.1,0.6,-0.2009,published_prior:marsan2010_global|Marsan & Lengliné (2010) — global survey,-0.8764,-0.6755,0.3007,0.6281,150,90,1.2,0.8,15.0
