feature_name,group,ablation_sets
hist_rate_all,hist_rate,ML-A|ML-B|ML-C|ML-D|ML-E|ML-F|ML-G
hist_rate_above_45,hist_rate,ML-A|ML-B|ML-C|ML-D|ML-E|ML-F|ML-G
hist_rate_above_50,hist_rate,ML-A|ML-B|ML-C|ML-D|ML-E|ML-F|ML-G
hist_rate_above_55,hist_rate,ML-A|ML-B|ML-C|ML-D|ML-E|ML-F|ML-G
n_prev_1d,temporal,ML-B|ML-C|ML-D|ML-E|ML-F|ML-G
n_prev_7d,temporal,ML-B|ML-C|ML-D|ML-E|ML-F|ML-G
n_prev_30d,temporal,ML-B|ML-C|ML-D|ML-E|ML-F|ML-G
n_prev_90d,temporal,ML-B|ML-C|ML-D|ML-E|ML-F|ML-G
n_prev_365d,temporal,ML-B|ML-C|ML-D|ML-E|ML-F|ML-G
time_since_last_event_days,temporal,ML-B|ML-C|ML-D|ML-E|ML-F|ML-G
time_since_last_m5_days,temporal,ML-B|ML-C|ML-D|ML-E|ML-F|ML-G
time_since_last_m6_days,temporal,ML-B|ML-C|ML-D|ML-E|ML-F|ML-G
rolling_rate_30d,temporal,ML-B|ML-C|ML-D|ML-E|ML-F|ML-G
rolling_rate_90d,temporal,ML-B|ML-C|ML-D|ML-E|ML-F|ML-G
max_mag_recent_30d,magnitude,ML-C|ML-D|ML-E|ML-F|ML-G
max_mag_recent_90d,magnitude,ML-C|ML-D|ML-E|ML-F|ML-G
mean_mag_recent_90d,magnitude,ML-C|ML-D|ML-E|ML-F|ML-G
mag_var_recent_90d,magnitude,ML-C|ML-D|ML-E|ML-F|ML-G
mag_p90_recent_90d,magnitude,ML-C|ML-D|ML-E|ML-F|ML-G
n_above_45_recent_30d,magnitude,ML-C|ML-D|ML-E|ML-F|ML-G
n_above_50_recent_30d,magnitude,ML-C|ML-D|ML-E|ML-F|ML-G
n_above_55_recent_90d,magnitude,ML-C|ML-D|ML-E|ML-F|ML-G
rolling_b_value_365d,magnitude,ML-C|ML-D|ML-E|ML-F|ML-G
local_density_50km,spatial,ML-D|ML-E|ML-F|ML-G
local_density_100km,spatial,ML-D|ML-E|ML-F|ML-G
neighbor_activity_8cells,spatial,ML-D|ML-E|ML-F|ML-G
dist_to_last_event_km,spatial,ML-D|ML-E|ML-F|ML-G
dist_to_last_m5_km,spatial,ML-D|ML-E|ML-F|ML-G
dist_to_last_m6_km,spatial,ML-D|ML-E|ML-F|ML-G
spatial_concentration,spatial,ML-D|ML-E|ML-F|ML-G
mean_depth_recent_90d,depth,ML-E|ML-F|ML-G
depth_var_recent_90d,depth,ML-E|ML-F|ML-G
n_shallow_recent_90d,depth,ML-E|ML-F|ML-G
n_intermediate_recent_90d,depth,ML-E|ML-F|ML-G
n_deep_recent_90d,depth,ML-E|ML-F|ML-G
depth_weighted_density,depth,ML-E|ML-F|ML-G
rate_acceleration_30d_vs_90d,clustering,ML-F|ML-G
omori_time_since_m5,clustering,ML-F|ML-G
omori_time_since_m6,clustering,ML-F|ML-G
post_m5_activity_7d,clustering,ML-F|ML-G
post_m6_activity_7d,clustering,ML-F|ML-G
n_mainshocks_90d,clustering,ML-F|ML-G
dcfs_cumulative_Pa,coulomb,ML-G
