base_rate,brier,brier_improvement,brier_poisson,expected_calibration_error,feature_set,horizon,information_gain_vs_poisson,log_likelihood,model,model_name,n_positive,n_test,notes,pr_auc,reliability_bins,roc_auc,sharpness,threshold
0.0122,0.0223,0.1839,0.2062,0.0238,ML-A,7d,0.3175,-0.2874,gb,gb|ML-A,7,576,Small positive count (7); high variance in metrics.; gb|ML-A BEATS Poisson (Brier 0.0223 < 0.2062).; Positive information gain (+0.3175).; ROC-AUC and PR-AUC are SECONDARY diagnostics.,0.0146,"[{'lo': 0.0, 'hi': 0.2, 'n': 568, 'mean_pred': 0.0001, 'obs_freq': 0.0123}, {'lo': 0.2, 'hi': 0.4, 'n': 0, 'mean_pred': None, 'obs_freq': None}, {'lo': 0.4, 'hi': 0.6, 'n': 0, 'mean_pred': None, 'obs_freq': None}, {'lo': 0.6, 'hi': 0.8, 'n': 4, 'mean_pred': 0.7413, 'obs_freq': 0.0}, {'lo': 0.8, 'hi': 1.0, 'n': 4, 'mean_pred': 0.9466, 'obs_freq': 0.0}]",0.5148,0.0999,4.5
0.0122,0.0211,0.1851,0.2062,0.0211,ML-F,7d,0.3092,-0.2957,gb,gb|ML-F,7,576,Small positive count (7); high variance in metrics.; gb|ML-F BEATS Poisson (Brier 0.0211 < 0.2062).; Positive information gain (+0.3092).; ROC-AUC and PR-AUC are SECONDARY diagnostics.,0.0158,"[{'lo': 0.0, 'hi': 0.2, 'n': 570, 'mean_pred': 0.0004, 'obs_freq': 0.0123}, {'lo': 0.2, 'hi': 0.4, 'n': 0, 'mean_pred': None, 'obs_freq': None}, {'lo': 0.4, 'hi': 0.6, 'n': 1, 'mean_pred': 0.4187, 'obs_freq': 0.0}, {'lo': 0.6, 'hi': 0.8, 'n': 0, 'mean_pred': None, 'obs_freq': None}, {'lo': 0.8, 'hi': 1.0, 'n': 5, 'mean_pred': 0.9947, 'obs_freq': 0.0}]",0.4636,0.0939,4.5
0.0122,0.1325,0.0737,0.2062,0.2563,ML-A,7d,0.0238,-0.5812,logistic_l2,logistic_l2|ML-A,7,576,Small positive count (7); high variance in metrics.; logistic_l2|ML-A BEATS Poisson (Brier 0.1325 < 0.2062).; Positive information gain (+0.0238).; ROC-AUC and PR-AUC are SECONDARY diagnostics.,0.0406,"[{'lo': 0.0, 'hi': 0.2, 'n': 284, 'mean_pred': 0.1059, 'obs_freq': 0.0141}, {'lo': 0.2, 'hi': 0.4, 'n': 192, 'mean_pred': 0.2752, 'obs_freq': 0.0}, {'lo': 0.4, 'hi': 0.6, 'n': 39, 'mean_pred': 0.4863, 'obs_freq': 0.0}, {'lo': 0.6, 'hi': 0.8, 'n': 17, 'mean_pred': 0.7087, 'obs_freq': 0.0}, {'lo': 0.8, 'hi': 1.0, 'n': 44, 'mean_pred': 0.9253, 'obs_freq': 0.0682}]",0.5225,0.2427,4.5
0.0122,0.0504,0.1557,0.2062,0.0535,ML-F,7d,0.2865,-0.3185,logistic_l2,logistic_l2|ML-F,7,576,Small positive count (7); high variance in metrics.; logistic_l2|ML-F BEATS Poisson (Brier 0.0504 < 0.2062).; Positive information gain (+0.2865).; ROC-AUC and PR-AUC are SECONDARY diagnostics.,0.0138,"[{'lo': 0.0, 'hi': 0.2, 'n': 531, 'mean_pred': 0.0103, 'obs_freq': 0.0132}, {'lo': 0.2, 'hi': 0.4, 'n': 8, 'mean_pred': 0.3005, 'obs_freq': 0.0}, {'lo': 0.4, 'hi': 0.6, 'n': 12, 'mean_pred': 0.4975, 'obs_freq': 0.0}, {'lo': 0.6, 'hi': 0.8, 'n': 9, 'mean_pred': 0.6778, 'obs_freq': 0.0}, {'lo': 0.8, 'hi': 1.0, 'n': 16, 'mean_pred': 0.9269, 'obs_freq': 0.0}]",0.46,0.1868,4.5
0.0122,0.2062,0.0,0.2062,0.4394,none,7d,0.0,-0.6049,poisson,poisson,7,576,Small positive count (7); high variance in metrics.; poisson does NOT beat Poisson (Brier 0.2062 >= 0.2062).; Non-positive information gain (0.0000).; ROC-AUC and PR-AUC are SECONDARY diagnostics.,0.0133,"[{'lo': 0.0, 'hi': 0.2, 'n': 0, 'mean_pred': None, 'obs_freq': None}, {'lo': 0.2, 'hi': 0.4, 'n': 0, 'mean_pred': None, 'obs_freq': None}, {'lo': 0.4, 'hi': 0.6, 'n': 576, 'mean_pred': 0.4516, 'obs_freq': 0.0122}, {'lo': 0.6, 'hi': 0.8, 'n': 0, 'mean_pred': None, 'obs_freq': None}, {'lo': 0.8, 'hi': 1.0, 'n': 0, 'mean_pred': None, 'obs_freq': None}]",0.4679,0.032,4.5
0.0104,0.0198,0.3885,0.4083,0.0193,ML-A,30d,0.7657,-0.2537,gb,gb|ML-A,6,576,Small positive count (6); high variance in metrics.; gb|ML-A BEATS Poisson (Brier 0.0198 < 0.4083).; Positive information gain (+0.7657).; ROC-AUC and PR-AUC are SECONDARY diagnostics.,0.0386,"[{'lo': 0.0, 'hi': 0.2, 'n': 565, 'mean_pred': 0.0002, 'obs_freq': 0.0088}, {'lo': 0.2, 'hi': 0.4, 'n': 5, 'mean_pred': 0.2925, 'obs_freq': 0.2}, {'lo': 0.4, 'hi': 0.6, 'n': 0, 'mean_pred': None, 'obs_freq': None}, {'lo': 0.6, 'hi': 0.8, 'n': 0, 'mean_pred': None, 'obs_freq': None}, {'lo': 0.8, 'hi': 1.0, 'n': 6, 'mean_pred': 0.9666, 'obs_freq': 0.0}]",0.6956,0.1021,5.0
0.0104,0.0175,0.3908,0.4083,0.0165,ML-F,30d,0.7889,-0.2305,gb,gb|ML-F,6,576,Small positive count (6); high variance in metrics.; gb|ML-F BEATS Poisson (Brier 0.0175 < 0.4083).; Positive information gain (+0.7889).; ROC-AUC and PR-AUC are SECONDARY diagnostics.,0.0233,"[{'lo': 0.0, 'hi': 0.2, 'n': 572, 'mean_pred': 0.0009, 'obs_freq': 0.0105}, {'lo': 0.2, 'hi': 0.4, 'n': 0, 'mean_pred': None, 'obs_freq': None}, {'lo': 0.4, 'hi': 0.6, 'n': 0, 'mean_pred': None, 'obs_freq': None}, {'lo': 0.6, 'hi': 0.8, 'n': 0, 'mean_pred': None, 'obs_freq': None}, {'lo': 0.8, 'hi': 1.0, 'n': 4, 'mean_pred': 0.9979, 'obs_freq': 0.0}]",0.6346,0.0836,5.0
0.0104,0.0604,0.3479,0.4083,0.1013,ML-A,30d,0.7641,-0.2553,logistic_l2,logistic_l2|ML-A,6,576,Small positive count (6); high variance in metrics.; logistic_l2|ML-A BEATS Poisson (Brier 0.0604 < 0.4083).; Positive information gain (+0.7641).; ROC-AUC and PR-AUC are SECONDARY diagnostics.,0.0752,"[{'lo': 0.0, 'hi': 0.2, 'n': 492, 'mean_pred': 0.0344, 'obs_freq': 0.0041}, {'lo': 0.2, 'hi': 0.4, 'n': 32, 'mean_pred': 0.2808, 'obs_freq': 0.0}, {'lo': 0.4, 'hi': 0.6, 'n': 17, 'mean_pred': 0.4989, 'obs_freq': 0.1176}, {'lo': 0.6, 'hi': 0.8, 'n': 12, 'mean_pred': 0.6714, 'obs_freq': 0.0}, {'lo': 0.8, 'hi': 1.0, 'n': 23, 'mean_pred': 0.9521, 'obs_freq': 0.087}]",0.7456,0.2183,5.0
0.0104,0.1136,0.2947,0.4083,0.1188,ML-F,30d,0.3738,-0.6455,logistic_l2,logistic_l2|ML-F,6,576,Small positive count (6); high variance in metrics.; logistic_l2|ML-F BEATS Poisson (Brier 0.1136 < 0.4083).; Positive information gain (+0.3738).; ROC-AUC and PR-AUC are SECONDARY diagnostics.,0.0108,"[{'lo': 0.0, 'hi': 0.2, 'n': 496, 'mean_pred': 0.0057, 'obs_freq': 0.0121}, {'lo': 0.2, 'hi': 0.4, 'n': 14, 'mean_pred': 0.2818, 'obs_freq': 0.0}, {'lo': 0.4, 'hi': 0.6, 'n': 4, 'mean_pred': 0.4976, 'obs_freq': 0.0}, {'lo': 0.6, 'hi': 0.8, 'n': 3, 'mean_pred': 0.7018, 'obs_freq': 0.0}, {'lo': 0.8, 'hi': 1.0, 'n': 59, 'mean_pred': 0.9696, 'obs_freq': 0.0}]",0.4096,0.2988,5.0
0.0104,0.4083,0.0,0.4083,0.6308,none,30d,0.0,-1.0194,poisson,poisson,6,576,Small positive count (6); high variance in metrics.; poisson does NOT beat Poisson (Brier 0.4083 >= 0.4083).; Non-positive information gain (0.0000).; ROC-AUC and PR-AUC are SECONDARY diagnostics.,0.011,"[{'lo': 0.0, 'hi': 0.2, 'n': 0, 'mean_pred': None, 'obs_freq': None}, {'lo': 0.2, 'hi': 0.4, 'n': 0, 'mean_pred': None, 'obs_freq': None}, {'lo': 0.4, 'hi': 0.6, 'n': 0, 'mean_pred': None, 'obs_freq': None}, {'lo': 0.6, 'hi': 0.8, 'n': 576, 'mean_pred': 0.6412, 'obs_freq': 0.0104}, {'lo': 0.8, 'hi': 1.0, 'n': 0, 'mean_pred': None, 'obs_freq': None}]",0.5,0.0095,5.0
