K,alpha,brier,experiment,horizon,model,n,n_origins,n_positive,no_triggering
0.0,0.0,,depth_etas,,pooled,3222,,,True
0.0,0.0,,depth_etas,,shallow,611,,,True
0.0,0.0,,depth_etas,,intermediate,1329,,,True
0.0,0.0,,depth_etas,,deep,1282,,,True
,,0.9919,short_horizon,1h,sp,,80,80,
,,0.9919,short_horizon,1h,uniform,,80,80,
,,nan,short_horizon,1h,etas_mle,,80,80,
,,0.9929,short_horizon,1h,etas_forced,,80,80,
,,0.9523,short_horizon,6h,sp,,80,80,
,,0.9523,short_horizon,6h,uniform,,80,80,
,,nan,short_horizon,6h,etas_mle,,80,80,
,,0.9731,short_horizon,6h,etas_forced,,80,80,
,,0.8246,short_horizon,24h,sp,,80,80,
,,0.8246,short_horizon,24h,uniform,,80,80,
,,nan,short_horizon,24h,etas_mle,,80,80,
,,0.9219,short_horizon,24h,etas_forced,,80,80,
,,0.2939,short_horizon,7d,sp,,80,80,
,,0.2939,short_horizon,7d,uniform,,80,80,
,,nan,short_horizon,7d,etas_mle,,80,80,
,,0.6271,short_horizon,7d,etas_forced,,80,80,
,,0.0158,short_horizon,30d,sp,,80,80,
,,0.0158,short_horizon,30d,uniform,,80,80,
,,nan,short_horizon,30d,etas_mle,,80,80,
,,0.154,short_horizon,30d,etas_forced,,80,80,
,,0.0,short_horizon,90d,sp,,80,80,
,,0.0,short_horizon,90d,uniform,,80,80,
,,nan,short_horizon,90d,etas_mle,,80,80,
,,0.0044,short_horizon,90d,etas_forced,,80,80,
