bin,config,mean_pred,model,n,obs_freq,origin
0.00-0.14,M4.5_7d,0.0103,v2,64,0.0,2015
0.14-0.29,M4.5_7d,,v2,0,,2015
0.29-0.43,M4.5_7d,,v2,0,,2015
0.43-0.57,M4.5_7d,,v2,0,,2015
0.57-0.71,M4.5_7d,,v2,0,,2015
0.71-0.86,M4.5_7d,,v2,0,,2015
0.86-1.00,M4.5_7d,,v2,0,,2015
0.00-0.14,M4.5_7d,0.0103,v1,64,0.0,2015
0.14-0.29,M4.5_7d,,v1,0,,2015
0.29-0.43,M4.5_7d,,v1,0,,2015
0.43-0.57,M4.5_7d,,v1,0,,2015
0.57-0.71,M4.5_7d,,v1,0,,2015
0.71-0.86,M4.5_7d,,v1,0,,2015
0.86-1.00,M4.5_7d,,v1,0,,2015
0.00-0.14,M4.5_7d,0.0105,v2,64,0.0156,2016
0.14-0.29,M4.5_7d,,v2,0,,2016
0.29-0.43,M4.5_7d,,v2,0,,2016
0.43-0.57,M4.5_7d,,v2,0,,2016
0.57-0.71,M4.5_7d,,v2,0,,2016
0.71-0.86,M4.5_7d,,v2,0,,2016
0.86-1.00,M4.5_7d,,v2,0,,2016
0.00-0.14,M4.5_7d,0.0105,v1,64,0.0156,2016
0.14-0.29,M4.5_7d,,v1,0,,2016
0.29-0.43,M4.5_7d,,v1,0,,2016
0.43-0.57,M4.5_7d,,v1,0,,2016
0.57-0.71,M4.5_7d,,v1,0,,2016
0.71-0.86,M4.5_7d,,v1,0,,2016
0.86-1.00,M4.5_7d,,v1,0,,2016
0.00-0.14,M4.5_7d,0.0106,v2,64,0.0625,2017
0.14-0.29,M4.5_7d,,v2,0,,2017
0.29-0.43,M4.5_7d,,v2,0,,2017
0.43-0.57,M4.5_7d,,v2,0,,2017
0.57-0.71,M4.5_7d,,v2,0,,2017
0.71-0.86,M4.5_7d,,v2,0,,2017
0.86-1.00,M4.5_7d,,v2,0,,2017
0.00-0.14,M4.5_7d,0.0106,v1,64,0.0625,2017
0.14-0.29,M4.5_7d,,v1,0,,2017
0.29-0.43,M4.5_7d,,v1,0,,2017
0.43-0.57,M4.5_7d,,v1,0,,2017
0.57-0.71,M4.5_7d,,v1,0,,2017
0.71-0.86,M4.5_7d,,v1,0,,2017
0.86-1.00,M4.5_7d,,v1,0,,2017
0.00-0.14,M4.5_7d,0.0108,v2,64,0.0156,2018
0.14-0.29,M4.5_7d,,v2,0,,2018
0.29-0.43,M4.5_7d,,v2,0,,2018
0.43-0.57,M4.5_7d,,v2,0,,2018
0.57-0.71,M4.5_7d,,v2,0,,2018
0.71-0.86,M4.5_7d,,v2,0,,2018
0.86-1.00,M4.5_7d,,v2,0,,2018
0.00-0.14,M4.5_7d,0.0107,v1,64,0.0156,2018
0.14-0.29,M4.5_7d,,v1,0,,2018
0.29-0.43,M4.5_7d,,v1,0,,2018
0.43-0.57,M4.5_7d,,v1,0,,2018
0.57-0.71,M4.5_7d,,v1,0,,2018
0.71-0.86,M4.5_7d,,v1,0,,2018
0.86-1.00,M4.5_7d,,v1,0,,2018
0.00-0.14,M4.5_7d,0.0107,v2,64,0.0,2019
0.14-0.29,M4.5_7d,,v2,0,,2019
0.29-0.43,M4.5_7d,,v2,0,,2019
0.43-0.57,M4.5_7d,,v2,0,,2019
0.57-0.71,M4.5_7d,,v2,0,,2019
0.71-0.86,M4.5_7d,,v2,0,,2019
0.86-1.00,M4.5_7d,,v2,0,,2019
0.00-0.14,M4.5_7d,0.0107,v1,64,0.0,2019
0.14-0.29,M4.5_7d,,v1,0,,2019
0.29-0.43,M4.5_7d,,v1,0,,2019
0.43-0.57,M4.5_7d,,v1,0,,2019
0.57-0.71,M4.5_7d,,v1,0,,2019
0.71-0.86,M4.5_7d,,v1,0,,2019
0.86-1.00,M4.5_7d,,v1,0,,2019
0.00-0.14,M4.5_7d,0.0107,v2,64,0.0,2020
0.14-0.29,M4.5_7d,,v2,0,,2020
0.29-0.43,M4.5_7d,,v2,0,,2020
0.43-0.57,M4.5_7d,,v2,0,,2020
0.57-0.71,M4.5_7d,,v2,0,,2020
0.71-0.86,M4.5_7d,,v2,0,,2020
0.86-1.00,M4.5_7d,,v2,0,,2020
0.00-0.14,M4.5_7d,0.0106,v1,64,0.0,2020
0.14-0.29,M4.5_7d,,v1,0,,2020
0.29-0.43,M4.5_7d,,v1,0,,2020
0.43-0.57,M4.5_7d,,v1,0,,2020
0.57-0.71,M4.5_7d,,v1,0,,2020
0.71-0.86,M4.5_7d,,v1,0,,2020
0.86-1.00,M4.5_7d,,v1,0,,2020
0.00-0.14,M4.5_7d,0.0106,v2,64,0.0,2021
0.14-0.29,M4.5_7d,,v2,0,,2021
0.29-0.43,M4.5_7d,,v2,0,,2021
0.43-0.57,M4.5_7d,,v2,0,,2021
0.57-0.71,M4.5_7d,,v2,0,,2021
0.71-0.86,M4.5_7d,,v2,0,,2021
0.86-1.00,M4.5_7d,,v2,0,,2021
0.00-0.14,M4.5_7d,0.0106,v1,64,0.0,2021
0.14-0.29,M4.5_7d,,v1,0,,2021
0.29-0.43,M4.5_7d,,v1,0,,2021
0.43-0.57,M4.5_7d,,v1,0,,2021
0.57-0.71,M4.5_7d,,v1,0,,2021
0.71-0.86,M4.5_7d,,v1,0,,2021
0.86-1.00,M4.5_7d,,v1,0,,2021
0.00-0.14,M4.5_7d,0.0107,v2,64,0.0156,2022
0.14-0.29,M4.5_7d,,v2,0,,2022
0.29-0.43,M4.5_7d,,v2,0,,2022
0.43-0.57,M4.5_7d,,v2,0,,2022
0.57-0.71,M4.5_7d,,v2,0,,2022
0.71-0.86,M4.5_7d,,v2,0,,2022
0.86-1.00,M4.5_7d,,v2,0,,2022
0.00-0.14,M4.5_7d,0.0107,v1,64,0.0156,2022
0.14-0.29,M4.5_7d,,v1,0,,2022
0.29-0.43,M4.5_7d,,v1,0,,2022
0.43-0.57,M4.5_7d,,v1,0,,2022
0.57-0.71,M4.5_7d,,v1,0,,2022
0.71-0.86,M4.5_7d,,v1,0,,2022
0.86-1.00,M4.5_7d,,v1,0,,2022
0.00-0.14,M4.5_7d,0.0108,v2,64,0.0312,2023
0.14-0.29,M4.5_7d,,v2,0,,2023
0.29-0.43,M4.5_7d,,v2,0,,2023
0.43-0.57,M4.5_7d,,v2,0,,2023
0.57-0.71,M4.5_7d,,v2,0,,2023
0.71-0.86,M4.5_7d,,v2,0,,2023
0.86-1.00,M4.5_7d,,v2,0,,2023
0.00-0.14,M4.5_7d,0.0108,v1,64,0.0312,2023
0.14-0.29,M4.5_7d,,v1,0,,2023
0.29-0.43,M4.5_7d,,v1,0,,2023
0.43-0.57,M4.5_7d,,v1,0,,2023
0.57-0.71,M4.5_7d,,v1,0,,2023
