config,coverage_v1,coverage_v2,interval_width_v1,interval_width_v2,origin_year
M4.5_7d,0.0,0.0469,-0.007303,0.006637,2015
M4.5_7d,0.0,0.0469,-0.007062,0.00662,2016
M4.5_7d,0.0,0.0469,-0.007172,0.006578,2017
M4.5_7d,0.0,0.0469,-0.006999,0.006554,2018
M4.5_7d,0.0,0.0469,-0.007058,0.006465,2019
M4.5_7d,0.0,0.0469,-0.006964,0.006373,2020
M4.5_7d,0.0,0.0469,-0.006851,0.006289,2021
M4.5_7d,0.0,0.0469,-0.006808,0.006253,2022
M4.5_7d,0.0,0.0469,-0.006757,0.006212,2023
M4.5_30d,0.0,0.0,-0.029317,0.026626,2015
M4.5_30d,0.0,0.0,-0.028283,0.026534,2016
M4.5_30d,0.0,0.0,-0.028725,0.026333,2017
M4.5_30d,0.0,0.0,-0.027987,0.026221,2018
M4.5_30d,0.0,0.0,-0.028262,0.025871,2019
M4.5_30d,0.0,0.0,-0.027895,0.02551,2020
M4.5_30d,0.0,0.0,-0.027446,0.025176,2021
M4.5_30d,0.0,0.0,-0.027246,0.025003,2022
M4.5_30d,0.0,0.0,-0.027023,0.024825,2023
M5.0_7d,0.0,0.0,-0.004361,0.003708,2015
M5.0_7d,0.0,0.0,-0.003938,0.003669,2016
M5.0_7d,0.0,0.0,-0.00424,0.00365,2017
M5.0_7d,0.0,0.0,-0.003879,0.003607,2018
M5.0_7d,0.0,0.0156,-0.004155,0.003566,2019
M5.0_7d,0.0,0.0,-0.004114,0.003521,2020
M5.0_7d,0.0,0.0156,-0.004033,0.003469,2021
M5.0_7d,0.0,0.0156,-0.003994,0.003432,2022
M5.0_7d,0.0,0.0312,-0.003918,0.003363,2023
M5.0_30d,0.0,0.0,-0.018293,0.015574,2015
M5.0_30d,0.0,0.0,-0.016501,0.015407,2016
M5.0_30d,0.0,0.0,-0.017788,0.015328,2017
M5.0_30d,0.0,0.0,-0.016251,0.015146,2018
M5.0_30d,0.0,0.0,-0.017428,0.01497,2019
M5.0_30d,0.0,0.0,-0.017255,0.014784,2020
M5.0_30d,0.0,0.0,-0.016919,0.014564,2021
M5.0_30d,0.0,0.0,-0.016752,0.014406,2022
M5.0_30d,0.0,0.0,-0.01644,0.014121,2023
