config,coverage_error_v1,coverage_error_v2,coverage_v1,coverage_v2,level,nominal,width_v1,width_v2
M4.5_7d,0.5,0.5,0.0,0.0,50%,0.5,-0.002408,0.002217
M4.5_7d,0.8,0.8,0.0,0.0,80%,0.8,-0.004575,0.004212
M4.5_7d,0.9,0.9,0.0,0.0,90%,0.9,-0.005872,0.005407
M4.5_7d,0.95,0.95,0.0,0.0,95%,0.95,-0.006997,0.006442
M4.5_30d,0.5,0.5,0.0,0.0,50%,0.5,-0.009643,0.008875
M4.5_30d,0.8,0.8,0.0,0.0,80%,0.8,-0.018322,0.016862
M4.5_30d,0.9,0.9,0.0,0.0,90%,0.9,-0.023516,0.021643
M4.5_30d,0.95,0.95,0.0,0.0,95%,0.95,-0.02802,0.025789
M5.0_7d,0.5,0.5,0.0,0.0,50%,0.5,-0.001401,0.001223
M5.0_7d,0.8,0.8,0.0,0.0,80%,0.8,-0.002661,0.002324
M5.0_7d,0.9,0.9,0.0,0.0,90%,0.9,-0.003416,0.002983
M5.0_7d,0.95,0.95,0.0,0.0,95%,0.95,-0.00407,0.003554
M5.0_30d,0.5,0.5,0.0,0.0,50%,0.5,-0.005874,0.005135
M5.0_30d,0.8,0.8,0.0,0.0,80%,0.8,-0.011161,0.009757
M5.0_30d,0.9,0.9,0.0,0.0,90%,0.9,-0.014325,0.012523
M5.0_30d,0.95,0.95,0.0,0.0,95%,0.95,-0.01707,0.014922
