bootstrap_vs_v1_ci_lower,bootstrap_vs_v1_ci_upper,bootstrap_vs_v1_delta_mean,bootstrap_vs_v2_ci_lower,bootstrap_vs_v2_ci_upper,bootstrap_vs_v2_delta_mean,brier_v1,brier_v2,brier_v3,config,delta_brier_v3_minus_v1,delta_brier_v3_minus_v2,ece_v1,ece_v2,ece_v3,log_lik_v1,log_lik_v2,log_lik_v3,n_origins,n_positive,permutation_p_value_vs_v1,permutation_p_value_vs_v2,sharpness_v1,sharpness_v2,sharpness_v3,variant
-0.000151,0.000335,5.1e-05,-0.000157,0.000307,5.1e-05,0.015015,0.015018,0.014967,M4.5_7d,-4.8e-05,-5.1e-05,0.005005,0.004994,0.003798,-0.075893,-0.075706,-0.07449,9,9,0.731,0.727,0.01549,0.015221,0.018844,A_gaussian_fixed
-0.000933,0.001675,0.0003,-0.000911,0.001639,0.000294,0.049981,0.050018,0.049714,M4.5_30d,-0.000267,-0.000303,0.018902,0.016827,0.015486,-0.187845,-0.187886,-0.187529,9,34,0.723,0.687,0.060114,0.059096,0.07094,A_gaussian_fixed
-9e-06,9.3e-05,2.6e-05,-1.1e-05,9.4e-05,2.9e-05,0.005124,0.005126,0.005097,M5.0_7d,-2.6e-05,-2.9e-05,0.002041,0.002002,0.001726,-0.028131,-0.028323,-0.027182,9,3,0.598,0.749,0.004565,0.004276,0.005455,A_gaussian_fixed
-0.000181,0.00041,8.1e-05,-0.000222,0.000382,5.6e-05,0.009905,0.00991,0.009837,M5.0_30d,-6.8e-05,-7.3e-05,0.002941,0.003117,0.004218,-0.046628,-0.047148,-0.046301,9,6,0.658,0.66,0.019004,0.017807,0.022499,A_gaussian_fixed
-0.000461,0.000704,1.6e-05,-0.000463,0.00054,1.5e-05,0.015015,0.015018,0.015005,M4.5_7d,-1e-05,-1.3e-05,0.005005,0.004994,0.000562,-0.075893,-0.075706,-0.073669,9,9,0.936,0.923,0.01549,0.015221,0.024175,B_gaussian_nn
-0.002331,0.00306,0.000334,-0.002584,0.003179,0.000323,0.049981,0.050018,0.049698,M4.5_30d,-0.000283,-0.00032,0.018902,0.016827,0.017651,-0.187845,-0.187886,-0.187414,9,34,0.875,0.879,0.060114,0.059096,0.086518,B_gaussian_nn
-3.5e-05,0.000215,5.2e-05,-3.6e-05,0.000218,5.5e-05,0.005124,0.005126,0.005071,M5.0_7d,-5.2e-05,-5.5e-05,0.002041,0.002002,0.000704,-0.028131,-0.028323,-0.027656,9,3,0.98,0.974,0.004565,0.004276,0.006586,B_gaussian_nn
-0.000442,0.00097,0.000176,-0.000494,0.000801,0.000117,0.009905,0.00991,0.009756,M5.0_30d,-0.000149,-0.000154,0.002941,0.003117,0.009771,-0.046628,-0.047148,-0.048627,9,6,0.61,0.635,0.019004,0.017807,0.026588,B_gaussian_nn
-0.000217,0.000414,4.7e-05,-0.000227,0.000367,4.7e-05,0.015015,0.015018,0.014972,M4.5_7d,-4.3e-05,-4.6e-05,0.005005,0.004994,0.003653,-0.075893,-0.075706,-0.07541,9,9,0.789,0.786,0.01549,0.015221,0.019899,C_epanechnikov_fixed
-0.001556,0.001925,9.2e-05,-0.001511,0.00182,5.2e-05,0.049981,0.050018,0.049939,M4.5_30d,-4.2e-05,-7.9e-05,0.018902,0.016827,0.017016,-0.187845,-0.187886,-0.191065,9,34,0.971,0.941,0.060114,0.059096,0.074256,C_epanechnikov_fixed
-1.2e-05,0.000122,3.4e-05,-1.4e-05,0.00012,3.7e-05,0.005124,0.005126,0.00509,M5.0_7d,-3.4e-05,-3.7e-05,0.002041,0.002002,0.001694,-0.028131,-0.028323,-0.026915,9,3,0.701,0.753,0.004565,0.004276,0.005791,C_epanechnikov_fixed
-0.000285,0.000546,8.9e-05,-0.000319,0.000489,5.3e-05,0.009905,0.00991,0.009833,M5.0_30d,-7.2e-05,-7.7e-05,0.002941,0.003117,0.007297,-0.046628,-0.047148,-0.046333,9,6,0.778,0.739,0.019004,0.017807,0.023806,C_epanechnikov_fixed
-0.000451,0.000681,2.8e-05,-0.000454,0.00054,2.7e-05,0.015015,0.015018,0.014992,M4.5_7d,-2.3e-05,-2.6e-05,0.005005,0.004994,0.002598,-0.075893,-0.075706,-0.074024,9,9,0.952,0.964,0.01549,0.015221,0.023702,D_epanechnikov_nn
-0.002267,0.003183,0.000467,-0.002295,0.003124,0.000409,0.049981,0.050018,0.049577,M4.5_30d,-0.000404,-0.000441,0.018902,0.016827,0.020181,-0.187845,-0.187886,-0.186862,9,34,0.827,0.797,0.060114,0.059096,0.084591,D_epanechnikov_nn
-2.5e-05,0.000126,3e-05,-2.5e-05,0.000131,3.3e-05,0.005124,0.005126,0.005093,M5.0_7d,-3e-05,-3.3e-05,0.002041,0.002002,0.001521,-0.028131,-0.028323,-0.02796,9,3,0.921,0.922,0.004565,0.004276,0.005627,D_epanechnikov_nn
-0.000226,0.000644,0.000165,-0.000268,0.000572,0.000127,0.009905,0.00991,0.009757,M5.0_30d,-0.000148,-0.000153,0.002941,0.003117,0.008862,-0.046628,-0.047148,-0.047034,9,6,0.501,0.527,0.019004,0.017807,0.023018,D_epanechnikov_nn
