brier_v1,brier_v2,brier_v3,config,correct_neg_rate_v3,coverage_v3,ece_v1,ece_v2,ece_v3,false_alarm_rate_v3,hit_rate_v3,interval_width_v3,log_lik_v3,miss_rate_v3,origin_year,sharpness_v1,sharpness_v2,sharpness_v3,variant
0.000329,0.00032,0.000463,M4.5_7d,0.5625,0.0781,0.010296,0.010308,0.011445,0.4375,0.0,0.007515,-0.011688,0.0,2015,0.014931,0.014636,0.01821,A_gaussian_fixed
0.015384,0.01538,0.015484,M4.5_7d,0.5714,0.0625,0.005167,0.005155,0.003992,0.4286,1.0,0.007531,-0.072878,0.0,2016,0.015186,0.014897,0.018471,A_gaussian_fixed
0.058227,0.058277,0.05733,M4.5_7d,0.5667,0.0469,0.051889,0.051877,0.050687,0.4333,0.75,0.007371,-0.250214,0.25,2017,0.01546,0.015179,0.018842,A_gaussian_fixed
0.01376,0.013784,0.013216,M4.5_7d,0.5556,0.0469,0.004885,0.004873,0.003666,0.4444,1.0,0.00743,-0.047767,0.0,2018,0.015632,0.015358,0.019016,A_gaussian_fixed
0.000357,0.000349,0.000505,M4.5_7d,0.5312,0.0312,0.010699,0.010711,0.011913,0.4688,0.0,0.007284,-0.012178,0.0,2019,0.015587,0.015319,0.019065,A_gaussian_fixed
0.000354,0.000346,0.000495,M4.5_7d,0.5469,0.0469,0.010642,0.010653,0.011855,0.4531,0.0,0.007114,-0.012115,0.0,2020,0.015506,0.015243,0.018824,A_gaussian_fixed
0.000352,0.000344,0.000487,M4.5_7d,0.5312,0.0469,0.010598,0.010609,0.011772,0.4688,0.0,0.007031,-0.012027,0.0,2021,0.015468,0.015211,0.018667,A_gaussian_fixed
0.015877,0.015865,0.016015,M4.5_7d,0.5238,0.0,0.004904,0.004893,0.003631,0.4762,0.0,0.007127,-0.099416,1.0,2022,0.015712,0.015461,0.019077,A_gaussian_fixed
0.030497,0.030496,0.030711,M4.5_7d,0.5323,0.0469,0.020439,0.020429,0.019187,0.4677,0.5,0.006956,-0.15213,0.5,2023,0.015903,0.015658,0.019393,A_gaussian_fixed
0.066133,0.066206,0.067092,M4.5_30d,0.4237,0.0312,0.036231,0.036151,0.045237,0.5763,1.0,0.02964,-0.23622,0.0,2015,0.058201,0.057075,0.068928,A_gaussian_fixed
0.025751,0.025773,0.025106,M4.5_30d,0.3548,0.0156,0.018513,0.018942,0.025843,0.6452,1.0,0.029693,-0.09904,0.0,2016,0.059062,0.057967,0.069719,A_gaussian_fixed
0.085152,0.085365,0.081116,M4.5_30d,0.386,0.0312,0.066277,0.0662,0.06205,0.614,1.0,0.029036,-0.293452,0.0,2017,0.060017,0.058954,0.07094,A_gaussian_fixed
0.036185,0.036261,0.034056,M4.5_30d,0.3934,0.0312,0.043417,0.034853,0.033182,0.6066,1.0,0.029267,-0.141185,0.0,2018,0.060569,0.059533,0.071445,A_gaussian_fixed
0.012677,0.012674,0.012203,M4.5_30d,0.3651,0.0156,0.043304,0.034775,0.041787,0.6349,1.0,0.028734,-0.062134,0.0,2019,0.060418,0.059404,0.071553,A_gaussian_fixed
0.035383,0.035244,0.037033,M4.5_30d,0.3548,0.0156,0.012549,0.012158,0.016253,0.6452,1.0,0.028009,-0.168104,0.0,2020,0.060148,0.059154,0.070839,A_gaussian_fixed
0.029649,0.02961,0.031426,M4.5_30d,0.3548,0.0156,0.012685,0.012302,0.015946,0.6452,1.0,0.027791,-0.116376,0.0,2021,0.060024,0.059051,0.070329,A_gaussian_fixed
0.099064,0.099259,0.097669,M4.5_30d,0.3929,0.0,0.081499,0.08143,0.076988,0.6071,1.0,0.028126,-0.335219,0.0,2022,0.060934,0.059985,0.071818,A_gaussian_fixed
