base_rate,bootstrap_ci_lower,bootstrap_ci_upper,brier_v1,brier_v4,delta_brier_v4_v1,ece_v1,ece_v4,horizon,log_lik_v1,log_lik_v4,n_origins,n_positive,permutation_p_value,sharpness_v1,sharpness_v4,variant
0.0,0.0,0.0,0.0,0.0,0.0,6.4e-05,4.6e-05,1h,-6.4e-05,-4.6e-05,9,0,0.003,9.5e-05,0.0,A_baseline
0.0,0.0,0.0,0.0,0.0,0.0,6.4e-05,4.6e-05,1h,-6.4e-05,-4.6e-05,9,0,0.003,9.5e-05,0.0,B_depth_stratified
0.0,0.0,0.0,0.0,0.0,0.0,6.4e-05,4.6e-05,1h,-6.4e-05,-4.6e-05,9,0,0.003,9.5e-05,0.0,C_depth_spatial
0.0,0.0,0.0,0.0,0.0,0.0,6.4e-05,4.6e-05,1h,-6.4e-05,-4.6e-05,9,0,0.003,9.5e-05,0.0,D_exponential
0.0,0.0,0.0,0.0,0.0,0.0,0.000386,0.000278,6h,-0.000386,-0.000278,9,0,0.003,0.00057,0.0,A_baseline
0.0,0.0,0.0,0.0,0.0,0.0,0.000386,0.000278,6h,-0.000386,-0.000278,9,0,0.003,0.00057,0.0,B_depth_stratified
0.0,0.0,0.0,0.0,0.0,0.0,0.000386,0.000278,6h,-0.000386,-0.000278,9,0,0.003,0.00057,0.0,C_depth_spatial
0.0,0.0,0.0,0.0,0.0,0.0,0.000386,0.000278,6h,-0.000386,-0.000278,9,0,0.003,0.00057,0.0,D_exponential
0.0,6e-06,6e-06,8e-06,1e-06,-7e-06,0.001539,0.001112,24h,-0.001543,-0.001113,9,0,0.003,0.002273,0.0,A_baseline
0.0,6e-06,6e-06,8e-06,1e-06,-7e-06,0.001539,0.001112,24h,-0.001543,-0.001113,9,0,0.003,0.002273,0.0,B_depth_stratified
0.0,6e-06,6e-06,8e-06,1e-06,-7e-06,0.001539,0.001112,24h,-0.001543,-0.001113,9,0,0.003,0.002273,0.0,C_depth_spatial
0.0,6e-06,6e-06,8e-06,1e-06,-7e-06,0.001539,0.001112,24h,-0.001543,-0.001113,9,0,0.003,0.002273,0.0,D_exponential
0.015625,-0.001387,0.000246,0.015015,0.015443,0.000428,0.005005,0.007866,7d,-0.075893,-0.083588,9,9,0.471,0.01549,0.0,A_baseline
0.015625,-0.001387,0.000246,0.015015,0.015443,0.000428,0.005005,0.007866,7d,-0.075893,-0.083588,9,9,0.471,0.01549,0.0,B_depth_stratified
0.015625,-0.001387,0.000246,0.015015,0.015443,0.000428,0.005005,0.007866,7d,-0.075893,-0.083588,9,9,0.471,0.01549,0.0,C_depth_spatial
0.015625,-0.001387,0.000246,0.015015,0.015443,0.000428,0.005005,0.007866,7d,-0.075893,-0.083588,9,9,0.471,0.01549,0.0,D_exponential
0.059028,-0.011458,-0.001866,0.049981,0.05623,0.006249,0.018902,0.026196,30d,-0.187845,-0.233072,9,34,0.034,0.060114,0.0,A_baseline
0.059028,-0.011458,-0.001866,0.049981,0.05623,0.006249,0.018902,0.026196,30d,-0.187845,-0.233072,9,34,0.034,0.060114,0.0,B_depth_stratified
0.059028,-0.011458,-0.001866,0.049981,0.05623,0.006249,0.018902,0.026196,30d,-0.187845,-0.233072,9,34,0.034,0.060114,0.0,C_depth_spatial
0.059028,-0.011458,-0.001866,0.049981,0.05623,0.006249,0.018902,0.026196,30d,-0.187845,-0.233072,9,34,0.034,0.060114,0.0,D_exponential
0.128472,-0.031498,-0.009889,0.093581,0.113068,0.019487,0.021651,0.033175,90d,-0.305637,-0.389289,9,74,0.008,0.143098,0.0,A_baseline
0.128472,-0.031498,-0.009889,0.093581,0.113068,0.019487,0.021651,0.033175,90d,-0.305637,-0.389289,9,74,0.008,0.143098,0.0,B_depth_stratified
0.128472,-0.031498,-0.009889,0.093581,0.113068,0.019487,0.021651,0.033175,90d,-0.305637,-0.389289,9,74,0.008,0.143098,0.0,C_depth_spatial
0.128472,-0.031498,-0.009889,0.093581,0.113068,0.019487,0.021651,0.033175,90d,-0.305637,-0.389289,9,74,0.008,0.143098,0.0,D_exponential
