bootstrap_vs_v1_ci_lower,bootstrap_vs_v1_ci_upper,bootstrap_vs_v1_mean,bootstrap_vs_v2_ci_lower,bootstrap_vs_v2_ci_upper,bootstrap_vs_v2_mean,brier_v1,brier_v2,brier_v4,config,delta_brier_v4_v1,delta_brier_v4_v2,ece_v1,ece_v2,ece_v4,n_origins,n_positive,permutation_p_vs_v1,permutation_p_vs_v2,sharpness_v1,sharpness_v2,sharpness_v4,variant
-0.001387,0.000246,-0.000442,-0.001209,0.000206,-0.000426,0.015015,0.015018,0.015443,M4.5_7d,0.000428,0.000425,0.005005,0.004994,0.007866,9,9,0.471,0.481,0.01549,0.015221,0.0,A_baseline
-0.011458,-0.001866,-0.006295,-0.011279,-0.001618,-0.006332,0.049981,0.050018,0.05623,M4.5_30d,0.006249,0.006212,0.018902,0.016827,0.026196,9,34,0.034,0.066,0.060114,0.059096,0.0,A_baseline
-0.000217,1.6e-05,-6.2e-05,-0.000188,1.4e-05,-6e-05,0.005124,0.005126,0.005186,M5.0_7d,6.2e-05,6e-05,0.002041,0.002002,0.00214,9,3,0.784,0.788,0.004565,0.004276,0.0,A_baseline
-0.001179,0.000184,-0.000436,-0.001003,0.000171,-0.000378,0.009905,0.00991,0.010315,M5.0_30d,0.00041,0.000405,0.002941,0.003117,0.002665,9,6,0.429,0.418,0.019004,0.017807,0.0,A_baseline
-0.001387,0.000246,-0.000442,-0.001209,0.000206,-0.000426,0.015015,0.015018,0.015443,M4.5_7d,0.000428,0.000425,0.005005,0.004994,0.007866,9,9,0.471,0.481,0.01549,0.015221,0.0,B_depth_stratified
-0.011458,-0.001866,-0.006295,-0.011279,-0.001618,-0.006332,0.049981,0.050018,0.05623,M4.5_30d,0.006249,0.006212,0.018902,0.016827,0.026196,9,34,0.034,0.066,0.060114,0.059096,0.0,B_depth_stratified
-0.000217,1.6e-05,-6.2e-05,-0.000188,1.4e-05,-6e-05,0.005124,0.005126,0.005186,M5.0_7d,6.2e-05,6e-05,0.002041,0.002002,0.00214,9,3,0.784,0.788,0.004565,0.004276,0.0,B_depth_stratified
-0.001179,0.000184,-0.000436,-0.001003,0.000171,-0.000378,0.009905,0.00991,0.010315,M5.0_30d,0.00041,0.000405,0.002941,0.003117,0.002665,9,6,0.429,0.418,0.019004,0.017807,0.0,B_depth_stratified
-0.001387,0.000246,-0.000442,-0.001209,0.000206,-0.000426,0.015015,0.015018,0.015443,M4.5_7d,0.000428,0.000425,0.005005,0.004994,0.007866,9,9,0.471,0.481,0.01549,0.015221,0.0,C_depth_spatial
-0.011458,-0.001866,-0.006295,-0.011279,-0.001618,-0.006332,0.049981,0.050018,0.05623,M4.5_30d,0.006249,0.006212,0.018902,0.016827,0.026196,9,34,0.034,0.066,0.060114,0.059096,0.0,C_depth_spatial
-0.000217,1.6e-05,-6.2e-05,-0.000188,1.4e-05,-6e-05,0.005124,0.005126,0.005186,M5.0_7d,6.2e-05,6e-05,0.002041,0.002002,0.00214,9,3,0.784,0.788,0.004565,0.004276,0.0,C_depth_spatial
-0.001179,0.000184,-0.000436,-0.001003,0.000171,-0.000378,0.009905,0.00991,0.010315,M5.0_30d,0.00041,0.000405,0.002941,0.003117,0.002665,9,6,0.429,0.418,0.019004,0.017807,0.0,C_depth_spatial
-0.001387,0.000246,-0.000442,-0.001209,0.000206,-0.000426,0.015015,0.015018,0.015443,M4.5_7d,0.000428,0.000425,0.005005,0.004994,0.007866,9,9,0.471,0.481,0.01549,0.015221,0.0,D_exponential
-0.011458,-0.001866,-0.006295,-0.011279,-0.001618,-0.006332,0.049981,0.050018,0.05623,M4.5_30d,0.006249,0.006212,0.018902,0.016827,0.026196,9,34,0.034,0.066,0.060114,0.059096,0.0,D_exponential
-0.000217,1.6e-05,-6.2e-05,-0.000188,1.4e-05,-6e-05,0.005124,0.005126,0.005186,M5.0_7d,6.2e-05,6e-05,0.002041,0.002002,0.00214,9,3,0.784,0.788,0.004565,0.004276,0.0,D_exponential
-0.001179,0.000184,-0.000436,-0.001003,0.000171,-0.000378,0.009905,0.00991,0.010315,M5.0_30d,0.00041,0.000405,0.002941,0.003117,0.002665,9,6,0.429,0.418,0.019004,0.017807,0.0,D_exponential
